drug,side_effect,label,query
citalopram,paradoxical pressor response,0,Is paradoxical pressor response an adverse effect of citalopram?
citalopram,ear congestion,0,Is ear congestion an adverse effect of citalopram?
citalopram,psychosexual disorder,0,Is psychosexual disorder an adverse effect of citalopram?
citalopram,measles,0,Is measles an adverse effect of citalopram?
pramipexole,dysmenorrhoea,1,Is dysmenorrhoea an adverse effect of pramipexole?
pramipexole,gastric ulcer haemorrhage,1,Is gastric ulcer haemorrhage an adverse effect of pramipexole?
pramipexole,pathological gambling,1,Is pathological gambling an adverse effect of pramipexole?
pramipexole,hypertensive crisis,1,Is hypertensive crisis an adverse effect of pramipexole?
pramipexole,muscular weakness,1,Is muscular weakness an adverse effect of pramipexole?
pramipexole,tenosynovitis,1,Is tenosynovitis an adverse effect of pramipexole?
pramipexole,parosmia,1,Is parosmia an adverse effect of pramipexole?
pramipexole,pulmonary embolism,1,Is pulmonary embolism an adverse effect of pramipexole?
pramipexole,dermatitis,1,Is dermatitis an adverse effect of pramipexole?
pramipexole,dizziness,1,Is dizziness an adverse effect of pramipexole?
pramipexole,migraine without aura,0,Is migraine without aura an adverse effect of pramipexole?
pramipexole,type iia hyperlipidaemia,0,Is type iia hyperlipidaemia an adverse effect of pramipexole?
pramipexole,hypotrichosis,0,Is hypotrichosis an adverse effect of pramipexole?
pramipexole,dacryocystitis,0,Is dacryocystitis an adverse effect of pramipexole?
pramipexole,hepatic enzyme abnormal,0,Is hepatic enzyme abnormal an adverse effect of pramipexole?
pramipexole,pharyngeal lesion,0,Is pharyngeal lesion an adverse effect of pramipexole?
pramipexole,localised infection,0,Is localised infection an adverse effect of pramipexole?
pramipexole,vascular anomaly,0,Is vascular anomaly an adverse effect of pramipexole?
pramipexole,stroke volume increased,0,Is stroke volume increased an adverse effect of pramipexole?
pramipexole,cervicobrachial syndrome,0,Is cervicobrachial syndrome an adverse effect of pramipexole?
ropinirole,actinic keratosis,1,Is actinic keratosis an adverse effect of ropinirole?
ropinirole,laryngeal cancer,1,Is laryngeal cancer an adverse effect of ropinirole?
ropinirole,dysuria,1,Is dysuria an adverse effect of ropinirole?
ropinirole,balanoposthitis,1,Is balanoposthitis an adverse effect of ropinirole?
ropinirole,lymphadenopathy,1,Is lymphadenopathy an adverse effect of ropinirole?
ropinirole,phlebitis superficial,1,Is phlebitis superficial an adverse effect of ropinirole?
ropinirole,cholecystitis,1,Is cholecystitis an adverse effect of ropinirole?
ropinirole,hypokalaemia,1,Is hypokalaemia an adverse effect of ropinirole?
ropinirole,gout,1,Is gout an adverse effect of ropinirole?
ropinirole,atrioventricular block,1,Is atrioventricular block an adverse effect of ropinirole?
ropinirole,tendinous contracture,0,Is tendinous contracture an adverse effect of ropinirole?
ropinirole,atrial flutter,0,Is atrial flutter an adverse effect of ropinirole?
ropinirole,gingival ulceration,0,Is gingival ulceration an adverse effect of ropinirole?
ropinirole,acute leukaemia,0,Is acute leukaemia an adverse effect of ropinirole?
ropinirole,meningioma,0,Is meningioma an adverse effect of ropinirole?
ropinirole,metastasis,0,Is metastasis an adverse effect of ropinirole?
ropinirole,nodal arrhythmia,0,Is nodal arrhythmia an adverse effect of ropinirole?
ropinirole,parotid gland enlargement,0,Is parotid gland enlargement an adverse effect of ropinirole?
ropinirole,skin discomfort,0,Is skin discomfort an adverse effect of ropinirole?
ropinirole,lip oedema,0,Is lip oedema an adverse effect of ropinirole?
bortezomib,pulmonary hypertension,1,Is pulmonary hypertension an adverse effect of bortezomib?
bortezomib,hyperaemia,1,Is hyperaemia an adverse effect of bortezomib?
bortezomib,eye haemorrhage,1,Is eye haemorrhage an adverse effect of bortezomib?
bortezomib,paralysis,1,Is paralysis an adverse effect of bortezomib?
bortezomib,vomiting,1,Is vomiting an adverse effect of bortezomib?
bortezomib,gastrooesophageal reflux disease,1,Is gastrooesophageal reflux disease an adverse effect of bortezomib?
bortezomib,reflexes abnormal,1,Is reflexes abnormal an adverse effect of bortezomib?
bortezomib,renal failure acute,1,Is renal failure acute an adverse effect of bortezomib?
bortezomib,cardio-respiratory arrest,1,Is cardio-respiratory arrest an adverse effect of bortezomib?
bortezomib,neuropathy peripheral,1,Is neuropathy peripheral an adverse effect of bortezomib?
bortezomib,anorectal discomfort,0,Is anorectal discomfort an adverse effect of bortezomib?
bortezomib,blood pressure diastolic decreased,0,Is blood pressure diastolic decreased an adverse effect of bortezomib?
bortezomib,ejaculation delayed,0,Is ejaculation delayed an adverse effect of bortezomib?
bortezomib,local swelling,0,Is local swelling an adverse effect of bortezomib?
bortezomib,hypertrophic osteoarthropathy,0,Is hypertrophic osteoarthropathy an adverse effect of bortezomib?
bortezomib,folate deficiency,0,Is folate deficiency an adverse effect of bortezomib?
bortezomib,polydactyly,0,Is polydactyly an adverse effect of bortezomib?
bortezomib,vaginitis bacterial,0,Is vaginitis bacterial an adverse effect of bortezomib?
bortezomib,immediate post-injection reaction,0,Is immediate post-injection reaction an adverse effect of bortezomib?
bortezomib,acute myeloid leukaemia,0,Is acute myeloid leukaemia an adverse effect of bortezomib?
risperidone,albinism,1,Is albinism an adverse effect of risperidone?
risperidone,postural orthostatic tachycardia syndrome,1,Is postural orthostatic tachycardia syndrome an adverse effect of risperidone?
risperidone,hypertriglyceridaemia,1,Is hypertriglyceridaemia an adverse effect of risperidone?
risperidone,athetosis,1,Is athetosis an adverse effect of risperidone?
risperidone,intestinal obstruction,1,Is intestinal obstruction an adverse effect of risperidone?
risperidone,agitation,1,Is agitation an adverse effect of risperidone?
risperidone,gastroenteritis,1,Is gastroenteritis an adverse effect of risperidone?
risperidone,catatonia,1,Is catatonia an adverse effect of risperidone?
risperidone,subcutaneous abscess,1,Is subcutaneous abscess an adverse effect of risperidone?
risperidone,breast pain,1,Is breast pain an adverse effect of risperidone?
risperidone,application site ulcer,0,Is application site ulcer an adverse effect of risperidone?
risperidone,conversion disorder,0,Is conversion disorder an adverse effect of risperidone?
risperidone,weight gain poor,0,Is weight gain poor an adverse effect of risperidone?
risperidone,aspartate aminotransferase decreased,0,Is aspartate aminotransferase decreased an adverse effect of risperidone?
risperidone,congenital musculoskeletal anomaly,0,Is congenital musculoskeletal anomaly an adverse effect of risperidone?
risperidone,sudden visual loss,0,Is sudden visual loss an adverse effect of risperidone?
risperidone,lid sulcus deepened,0,Is lid sulcus deepened an adverse effect of risperidone?
risperidone,spine malformation,0,Is spine malformation an adverse effect of risperidone?
risperidone,echocardiogram abnormal,0,Is echocardiogram abnormal an adverse effect of risperidone?
risperidone,metastatic neoplasm,0,Is metastatic neoplasm an adverse effect of risperidone?
paroxetine,rash pustular,1,Is rash pustular an adverse effect of paroxetine?
paroxetine,weight increased,1,Is weight increased an adverse effect of paroxetine?
paroxetine,extrapyramidal disorder,1,Is extrapyramidal disorder an adverse effect of paroxetine?
paroxetine,phlebitis,1,Is phlebitis an adverse effect of paroxetine?
paroxetine,oesophagitis,1,Is oesophagitis an adverse effect of paroxetine?
paroxetine,candida infection,1,Is candida infection an adverse effect of paroxetine?
paroxetine,hepatosplenomegaly,1,Is hepatosplenomegaly an adverse effect of paroxetine?
paroxetine,abortion,1,Is abortion an adverse effect of paroxetine?
paroxetine,major depression,1,Is major depression an adverse effect of paroxetine?
paroxetine,keratitis,1,Is keratitis an adverse effect of paroxetine?
paroxetine,electrocardiogram pr shortened,0,Is electrocardiogram pr shortened an adverse effect of paroxetine?
paroxetine,autonomic nervous system imbalance,0,Is autonomic nervous system imbalance an adverse effect of paroxetine?
paroxetine,pericarditis constrictive,0,Is pericarditis constrictive an adverse effect of paroxetine?
paroxetine,blood pressure fluctuation,0,Is blood pressure fluctuation an adverse effect of paroxetine?
paroxetine,temperature intolerance,0,Is temperature intolerance an adverse effect of paroxetine?
paroxetine,renal cell carcinoma,0,Is renal cell carcinoma an adverse effect of paroxetine?
paroxetine,scintillating scotoma,0,Is scintillating scotoma an adverse effect of paroxetine?
paroxetine,tooth fracture,0,Is tooth fracture an adverse effect of paroxetine?
paroxetine,pharyngeal oedema,0,Is pharyngeal oedema an adverse effect of paroxetine?
paroxetine,buccoglossal syndrome,0,Is buccoglossal syndrome an adverse effect of paroxetine?
tramadol,vascular pain,1,Is vascular pain an adverse effect of tramadol?
tramadol,dyspnoea,1,Is dyspnoea an adverse effect of tramadol?
tramadol,alanine aminotransferase decreased,1,Is alanine aminotransferase decreased an adverse effect of tramadol?
tramadol,nasopharyngitis,1,Is nasopharyngitis an adverse effect of tramadol?
tramadol,weight decreased,1,Is weight decreased an adverse effect of tramadol?
tramadol,band neutrophil count increased,1,Is band neutrophil count increased an adverse effect of tramadol?
tramadol,pulmonary embolism,1,Is pulmonary embolism an adverse effect of tramadol?
tramadol,lymphadenopathy,1,Is lymphadenopathy an adverse effect of tramadol?
tramadol,rhonchi,1,Is rhonchi an adverse effect of tramadol?
tramadol,prostatomegaly,1,Is prostatomegaly an adverse effect of tramadol?
tramadol,anaemia megaloblastic,0,Is anaemia megaloblastic an adverse effect of tramadol?
tramadol,abdominal infection,0,Is abdominal infection an adverse effect of tramadol?
tramadol,hepatic cyst,0,Is hepatic cyst an adverse effect of tramadol?
tramadol,incision site complication,0,Is incision site complication an adverse effect of tramadol?
tramadol,beckwith-wiedemann syndrome,0,Is beckwith-wiedemann syndrome an adverse effect of tramadol?
tramadol,acanthosis nigricans,0,Is acanthosis nigricans an adverse effect of tramadol?
tramadol,polyneuropathy,0,Is polyneuropathy an adverse effect of tramadol?
tramadol,vitamin b complex deficiency,0,Is vitamin b complex deficiency an adverse effect of tramadol?
tramadol,enanthema,0,Is enanthema an adverse effect of tramadol?
tramadol,eye penetration,0,Is eye penetration an adverse effect of tramadol?
tacrolimus,nasal congestion,1,Is nasal congestion an adverse effect of tacrolimus?
tacrolimus,oliguria,1,Is oliguria an adverse effect of tacrolimus?
tacrolimus,vulvovaginal mycotic infection,1,Is vulvovaginal mycotic infection an adverse effect of tacrolimus?
tacrolimus,status epilepticus,1,Is status epilepticus an adverse effect of tacrolimus?
tacrolimus,depressed level of consciousness,1,Is depressed level of consciousness an adverse effect of tacrolimus?
tacrolimus,diabetic nephropathy,1,Is diabetic nephropathy an adverse effect of tacrolimus?
tacrolimus,herpes dermatitis,1,Is herpes dermatitis an adverse effect of tacrolimus?
tacrolimus,vaginal infection,1,Is vaginal infection an adverse effect of tacrolimus?
tacrolimus,gastrointestinal haemorrhage,1,Is gastrointestinal haemorrhage an adverse effect of tacrolimus?
tacrolimus,cough,1,Is cough an adverse effect of tacrolimus?
tacrolimus,brugada syndrome,0,Is brugada syndrome an adverse effect of tacrolimus?
tacrolimus,end stage aids,0,Is end stage aids an adverse effect of tacrolimus?
tacrolimus,multiparous,0,Is multiparous an adverse effect of tacrolimus?
tacrolimus,ureteral spasm,0,Is ureteral spasm an adverse effect of tacrolimus?
tacrolimus,hydrocele,0,Is hydrocele an adverse effect of tacrolimus?
tacrolimus,bone sarcoma,0,Is bone sarcoma an adverse effect of tacrolimus?
tacrolimus,retrograde ejaculation,0,Is retrograde ejaculation an adverse effect of tacrolimus?
tacrolimus,suprapubic pain,0,Is suprapubic pain an adverse effect of tacrolimus?
tacrolimus,lordosis,0,Is lordosis an adverse effect of tacrolimus?
tacrolimus,aortic valve stenosis,0,Is aortic valve stenosis an adverse effect of tacrolimus?
venlafaxine,aspartate aminotransferase increased,1,Is aspartate aminotransferase increased an adverse effect of venlafaxine?
venlafaxine,myalgia,1,Is myalgia an adverse effect of venlafaxine?
venlafaxine,bone pain,1,Is bone pain an adverse effect of venlafaxine?
venlafaxine,glaucoma,1,Is glaucoma an adverse effect of venlafaxine?
venlafaxine,arrhythmia,1,Is arrhythmia an adverse effect of venlafaxine?
venlafaxine,protein urine present,1,Is protein urine present an adverse effect of venlafaxine?
venlafaxine,ejaculation disorder,1,Is ejaculation disorder an adverse effect of venlafaxine?
venlafaxine,prurigo,1,Is prurigo an adverse effect of venlafaxine?
venlafaxine,dehydration,1,Is dehydration an adverse effect of venlafaxine?
venlafaxine,increased appetite,1,Is increased appetite an adverse effect of venlafaxine?
venlafaxine,pustular psoriasis,0,Is pustular psoriasis an adverse effect of venlafaxine?
venlafaxine,meniere's disease,0,Is meniere's disease an adverse effect of venlafaxine?
venlafaxine,swelling face,0,Is swelling face an adverse effect of venlafaxine?
venlafaxine,infusion site extravasation,0,Is infusion site extravasation an adverse effect of venlafaxine?
venlafaxine,oesophageal pain,0,Is oesophageal pain an adverse effect of venlafaxine?
venlafaxine,chest x-ray abnormal,0,Is chest x-ray abnormal an adverse effect of venlafaxine?
venlafaxine,hepatitis cholestatic,0,Is hepatitis cholestatic an adverse effect of venlafaxine?
venlafaxine,allergic hepatitis,0,Is allergic hepatitis an adverse effect of venlafaxine?
venlafaxine,pulmonary ossification,0,Is pulmonary ossification an adverse effect of venlafaxine?
venlafaxine,conjunctivitis infective,0,Is conjunctivitis infective an adverse effect of venlafaxine?
fluoxetine,dysgeusia,1,Is dysgeusia an adverse effect of fluoxetine?
fluoxetine,urinary tract infection,1,Is urinary tract infection an adverse effect of fluoxetine?
fluoxetine,gastroenteritis,1,Is gastroenteritis an adverse effect of fluoxetine?
fluoxetine,albuminuria,1,Is albuminuria an adverse effect of fluoxetine?
fluoxetine,thrombocytosis,1,Is thrombocytosis an adverse effect of fluoxetine?
fluoxetine,hypertension,1,Is hypertension an adverse effect of fluoxetine?
fluoxetine,teratogenicity,1,Is teratogenicity an adverse effect of fluoxetine?
fluoxetine,blood pressure increased,1,Is blood pressure increased an adverse effect of fluoxetine?
fluoxetine,mental disorder,1,Is mental disorder an adverse effect of fluoxetine?
fluoxetine,grand mal convulsion,1,Is grand mal convulsion an adverse effect of fluoxetine?
fluoxetine,endotracheal intubation complication,0,Is endotracheal intubation complication an adverse effect of fluoxetine?
fluoxetine,postpartum disorder,0,Is postpartum disorder an adverse effect of fluoxetine?
fluoxetine,factor i deficiency,0,Is factor i deficiency an adverse effect of fluoxetine?
fluoxetine,gastric disorder,0,Is gastric disorder an adverse effect of fluoxetine?
fluoxetine,scleroderma,0,Is scleroderma an adverse effect of fluoxetine?
fluoxetine,electrocardiogram st segment abnormal,0,Is electrocardiogram st segment abnormal an adverse effect of fluoxetine?
fluoxetine,diabetic vascular disorder,0,Is diabetic vascular disorder an adverse effect of fluoxetine?
fluoxetine,acute graft versus host disease,0,Is acute graft versus host disease an adverse effect of fluoxetine?
fluoxetine,tongue neoplasm malignant stage unspecified,0,Is tongue neoplasm malignant stage unspecified an adverse effect of fluoxetine?
fluoxetine,adenovirus infection,0,Is adenovirus infection an adverse effect of fluoxetine?
k779,influenza,1,Is influenza an adverse effect of k779?
k779,musculoskeletal discomfort,1,Is musculoskeletal discomfort an adverse effect of k779?
k779,colitis ischaemic,1,Is colitis ischaemic an adverse effect of k779?
k779,vaginal infection,1,Is vaginal infection an adverse effect of k779?
k779,transaminases increased,1,Is transaminases increased an adverse effect of k779?
k779,herpes simplex,1,Is herpes simplex an adverse effect of k779?
k779,injection site reaction,1,Is injection site reaction an adverse effect of k779?
k779,dysmenorrhoea,1,Is dysmenorrhoea an adverse effect of k779?
k779,confusional state,1,Is confusional state an adverse effect of k779?
k779,laryngitis,1,Is laryngitis an adverse effect of k779?
k779,oedema genital,0,Is oedema genital an adverse effect of k779?
k779,hepatic angiosarcoma,0,Is hepatic angiosarcoma an adverse effect of k779?
k779,abnormal withdrawal bleeding,0,Is abnormal withdrawal bleeding an adverse effect of k779?
k779,benign gastrointestinal neoplasm,0,Is benign gastrointestinal neoplasm an adverse effect of k779?
k779,hypergammaglobulinaemia,0,Is hypergammaglobulinaemia an adverse effect of k779?
k779,tuberculin test positive,0,Is tuberculin test positive an adverse effect of k779?
k779,reperfusion injury,0,Is reperfusion injury an adverse effect of k779?
k779,upper respiratory tract congestion,0,Is upper respiratory tract congestion an adverse effect of k779?
k779,waist circumference increased,0,Is waist circumference increased an adverse effect of k779?
k779,oedema mouth,0,Is oedema mouth an adverse effect of k779?
topiramate,vascular purpura,1,Is vascular purpura an adverse effect of topiramate?
topiramate,haematuria,1,Is haematuria an adverse effect of topiramate?
topiramate,mental disorder,1,Is mental disorder an adverse effect of topiramate?
topiramate,gingival hyperplasia,1,Is gingival hyperplasia an adverse effect of topiramate?
topiramate,effusion,1,Is effusion an adverse effect of topiramate?
topiramate,nocturia,1,Is nocturia an adverse effect of topiramate?
topiramate,calculus ureteric,1,Is calculus ureteric an adverse effect of topiramate?
topiramate,hypokinesia,1,Is hypokinesia an adverse effect of topiramate?
topiramate,disorientation,1,Is disorientation an adverse effect of topiramate?
topiramate,distractibility,1,Is distractibility an adverse effect of topiramate?
topiramate,body height decreased,0,Is body height decreased an adverse effect of topiramate?
topiramate,drug withdrawal convulsions,0,Is drug withdrawal convulsions an adverse effect of topiramate?
topiramate,umbilical hernia,0,Is umbilical hernia an adverse effect of topiramate?
topiramate,enterococcal infection,0,Is enterococcal infection an adverse effect of topiramate?
topiramate,ovarian failure,0,Is ovarian failure an adverse effect of topiramate?
topiramate,post procedural infection,0,Is post procedural infection an adverse effect of topiramate?
topiramate,left ventricular dysfunction,0,Is left ventricular dysfunction an adverse effect of topiramate?
topiramate,psychiatric symptom,0,Is psychiatric symptom an adverse effect of topiramate?
topiramate,injection site dryness,0,Is injection site dryness an adverse effect of topiramate?
topiramate,autonomic nervous system imbalance,0,Is autonomic nervous system imbalance an adverse effect of topiramate?
bupropion,intraocular pressure increased,1,Is intraocular pressure increased an adverse effect of bupropion?
bupropion,serum sickness,1,Is serum sickness an adverse effect of bupropion?
bupropion,convulsion,1,Is convulsion an adverse effect of bupropion?
bupropion,dysphoria,1,Is dysphoria an adverse effect of bupropion?
bupropion,akinesia,1,Is akinesia an adverse effect of bupropion?
bupropion,shock,1,Is shock an adverse effect of bupropion?
bupropion,conjunctivitis infective,1,Is conjunctivitis infective an adverse effect of bupropion?
bupropion,contusion,1,Is contusion an adverse effect of bupropion?
bupropion,gastrointestinal pain,1,Is gastrointestinal pain an adverse effect of bupropion?
bupropion,pallor,1,Is pallor an adverse effect of bupropion?
bupropion,anal haemorrhage,0,Is anal haemorrhage an adverse effect of bupropion?
bupropion,hepatitis b,0,Is hepatitis b an adverse effect of bupropion?
bupropion,pancreatic disorder,0,Is pancreatic disorder an adverse effect of bupropion?
bupropion,pseudocholinesterase deficiency,0,Is pseudocholinesterase deficiency an adverse effect of bupropion?
bupropion,calcinosis,0,Is calcinosis an adverse effect of bupropion?
bupropion,ovarian hyperstimulation syndrome,0,Is ovarian hyperstimulation syndrome an adverse effect of bupropion?
bupropion,stridor,0,Is stridor an adverse effect of bupropion?
bupropion,foreign body sensation in eyes,0,Is foreign body sensation in eyes an adverse effect of bupropion?
bupropion,chronic hepatic failure,0,Is chronic hepatic failure an adverse effect of bupropion?
bupropion,skin ulcer,0,Is skin ulcer an adverse effect of bupropion?
gabapentin,connective tissue disorder,1,Is connective tissue disorder an adverse effect of gabapentin?
gabapentin,convulsion,1,Is convulsion an adverse effect of gabapentin?
gabapentin,white blood cell count decreased,1,Is white blood cell count decreased an adverse effect of gabapentin?
gabapentin,feeling drunk,1,Is feeling drunk an adverse effect of gabapentin?
gabapentin,dyspnoea,1,Is dyspnoea an adverse effect of gabapentin?
gabapentin,glaucoma,1,Is glaucoma an adverse effect of gabapentin?
gabapentin,abscess,1,Is abscess an adverse effect of gabapentin?
gabapentin,disorientation,1,Is disorientation an adverse effect of gabapentin?
gabapentin,eye haemorrhage,1,Is eye haemorrhage an adverse effect of gabapentin?
gabapentin,apathy,1,Is apathy an adverse effect of gabapentin?
gabapentin,aortic valve incompetence,0,Is aortic valve incompetence an adverse effect of gabapentin?
gabapentin,trichotillomania,0,Is trichotillomania an adverse effect of gabapentin?
gabapentin,ileal ulcer,0,Is ileal ulcer an adverse effect of gabapentin?
gabapentin,procedural complication,0,Is procedural complication an adverse effect of gabapentin?
gabapentin,bronchospasm paradoxical,0,Is bronchospasm paradoxical an adverse effect of gabapentin?
gabapentin,pertussis,0,Is pertussis an adverse effect of gabapentin?
gabapentin,lacunar infarction,0,Is lacunar infarction an adverse effect of gabapentin?
gabapentin,drug level changed,0,Is drug level changed an adverse effect of gabapentin?
gabapentin,latent tetany,0,Is latent tetany an adverse effect of gabapentin?
gabapentin,left ventricular failure,0,Is left ventricular failure an adverse effect of gabapentin?
fentanyl,decubitus ulcer,1,Is decubitus ulcer an adverse effect of fentanyl?
fentanyl,cold sweat,1,Is cold sweat an adverse effect of fentanyl?
fentanyl,connective tissue disorder,1,Is connective tissue disorder an adverse effect of fentanyl?
fentanyl,upper airway obstruction,1,Is upper airway obstruction an adverse effect of fentanyl?
fentanyl,drug hypersensitivity,1,Is drug hypersensitivity an adverse effect of fentanyl?
fentanyl,bleeding time prolonged,1,Is bleeding time prolonged an adverse effect of fentanyl?
fentanyl,ear pain,1,Is ear pain an adverse effect of fentanyl?
fentanyl,pruritus generalised,1,Is pruritus generalised an adverse effect of fentanyl?
fentanyl,visual impairment,1,Is visual impairment an adverse effect of fentanyl?
fentanyl,application site reaction,1,Is application site reaction an adverse effect of fentanyl?
fentanyl,calcification metastatic,0,Is calcification metastatic an adverse effect of fentanyl?
fentanyl,eating disorder,0,Is eating disorder an adverse effect of fentanyl?
fentanyl,hepatitis alcoholic,0,Is hepatitis alcoholic an adverse effect of fentanyl?
fentanyl,retinal tear,0,Is retinal tear an adverse effect of fentanyl?
fentanyl,sexually active,0,Is sexually active an adverse effect of fentanyl?
fentanyl,anterior chamber cell,0,Is anterior chamber cell an adverse effect of fentanyl?
fentanyl,renal vein thrombosis,0,Is renal vein thrombosis an adverse effect of fentanyl?
fentanyl,rheumatoid arthritis,0,Is rheumatoid arthritis an adverse effect of fentanyl?
fentanyl,band neutrophil count increased,0,Is band neutrophil count increased an adverse effect of fentanyl?
fentanyl,application site haemorrhage,0,Is application site haemorrhage an adverse effect of fentanyl?
lenalidomide,septic shock,1,Is septic shock an adverse effect of lenalidomide?
lenalidomide,musculoskeletal pain,1,Is musculoskeletal pain an adverse effect of lenalidomide?
lenalidomide,tremor,1,Is tremor an adverse effect of lenalidomide?
lenalidomide,cystitis noninfective,1,Is cystitis noninfective an adverse effect of lenalidomide?
lenalidomide,foetor hepaticus,1,Is foetor hepaticus an adverse effect of lenalidomide?
lenalidomide,depressed level of consciousness,1,Is depressed level of consciousness an adverse effect of lenalidomide?
lenalidomide,ataxia,1,Is ataxia an adverse effect of lenalidomide?
lenalidomide,atrial flutter,1,Is atrial flutter an adverse effect of lenalidomide?
lenalidomide,rash erythematous,1,Is rash erythematous an adverse effect of lenalidomide?
lenalidomide,dry skin,1,Is dry skin an adverse effect of lenalidomide?
lenalidomide,hair growth abnormal,0,Is hair growth abnormal an adverse effect of lenalidomide?
lenalidomide,acarodermatitis,0,Is acarodermatitis an adverse effect of lenalidomide?
lenalidomide,sneezing,0,Is sneezing an adverse effect of lenalidomide?
lenalidomide,food poisoning,0,Is food poisoning an adverse effect of lenalidomide?
lenalidomide,lupus-like syndrome,0,Is lupus-like syndrome an adverse effect of lenalidomide?
lenalidomide,water intoxication,0,Is water intoxication an adverse effect of lenalidomide?
lenalidomide,pilonidal cyst,0,Is pilonidal cyst an adverse effect of lenalidomide?
lenalidomide,nasal ulcer,0,Is nasal ulcer an adverse effect of lenalidomide?
lenalidomide,retrograde amnesia,0,Is retrograde amnesia an adverse effect of lenalidomide?
