query,query_type,source_drug,requires_graph,hop_count,pathway_analysis,drugs,network_analysis,organ,cluster_analysis
What cascade of side effects can perindopril trigger?,graph_pathway,perindopril,True,,True,,,,
What cascade of side effects can olopatadine trigger?,graph_pathway,olopatadine,True,,True,,,,
What cascade of side effects can busulfan trigger?,graph_pathway,busulfan,True,,True,,,,
What cascade of side effects can medrysone trigger?,graph_pathway,medrysone,True,,True,,,,
What cascade of side effects can insulin trigger?,graph_pathway,insulin,True,,True,,,,
What cascade of side effects can loxapine trigger?,graph_pathway,loxapine,True,,True,,,,
What cascade of side effects can tenoxicam trigger?,graph_pathway,tenoxicam,True,,True,,,,
What cascade of side effects can nevirapine trigger?,graph_pathway,nevirapine,True,,True,,,,
What cascade of side effects can n-3 trigger?,graph_pathway,n-3,True,,True,,,,
What cascade of side effects can eaca trigger?,graph_pathway,eaca,True,,True,,,,
What cascade of side effects can 8-mop trigger?,graph_pathway,8-mop,True,,True,,,,
What cascade of side effects can promacta trigger?,graph_pathway,promacta,True,,True,,,,
What cascade of side effects can posaconazole trigger?,graph_pathway,posaconazole,True,,True,,,,
What cascade of side effects can guaifenesin trigger?,graph_pathway,guaifenesin,True,,True,,,,
What cascade of side effects can valsartan trigger?,graph_pathway,valsartan,True,,True,,,,
What cascade of side effects can nadolol trigger?,graph_pathway,nadolol,True,,True,,,,
What cascade of side effects can quinapril trigger?,graph_pathway,quinapril,True,,True,,,,
What cascade of side effects can benzphetamine trigger?,graph_pathway,benzphetamine,True,,True,,,,
What cascade of side effects can nefopam trigger?,graph_pathway,nefopam,True,,True,,,,
What cascade of side effects can hydrocortisone trigger?,graph_pathway,hydrocortisone,True,,True,,,,
What cascade of side effects can minoxidil trigger?,graph_pathway,minoxidil,True,,True,,,,
What cascade of side effects can cephem trigger?,graph_pathway,cephem,True,,True,,,,
What cascade of side effects can almotriptan trigger?,graph_pathway,almotriptan,True,,True,,,,
What cascade of side effects can mometasone trigger?,graph_pathway,mometasone,True,,True,,,,
What cascade of side effects can isoproterenol trigger?,graph_pathway,isoproterenol,True,,True,,,,
What cascade of side effects can bimatoprost trigger?,graph_pathway,bimatoprost,True,,True,,,,
What cascade of side effects can solifenacin trigger?,graph_pathway,solifenacin,True,,True,,,,
What cascade of side effects can galantamine trigger?,graph_pathway,galantamine,True,,True,,,,
What cascade of side effects can troglitazone trigger?,graph_pathway,troglitazone,True,,True,,,,
What cascade of side effects can temazepam trigger?,graph_pathway,temazepam,True,,True,,,,
What cascade of side effects can ephedrine trigger?,graph_pathway,ephedrine,True,,True,,,,
What cascade of side effects can iohexol trigger?,graph_pathway,iohexol,True,,True,,,,
What cascade of side effects can paroxetine trigger?,graph_pathway,paroxetine,True,,True,,,,
What cascade of side effects can azelastine trigger?,graph_pathway,azelastine,True,,True,,,,
What cascade of side effects can natamycin trigger?,graph_pathway,natamycin,True,,True,,,,
What cascade of side effects can almeta trigger?,graph_pathway,almeta,True,,True,,,,
What cascade of side effects can tipranavir trigger?,graph_pathway,tipranavir,True,,True,,,,
What cascade of side effects can esomeprazole trigger?,graph_pathway,esomeprazole,True,,True,,,,
What cascade of side effects can buspirone trigger?,graph_pathway,buspirone,True,,True,,,,
Analyze the interaction network between zinc and vigabatrin,graph_network,,True,,,"['zinc', 'vigabatrin']",True,,
Analyze the interaction network between mersyndol and nandrolone,graph_network,,True,,,"['mersyndol', 'nandrolone']",True,,
Analyze the interaction network between abarelix and cabergoline,graph_network,,True,,,"['abarelix', 'cabergoline']",True,,
Analyze the interaction network between 4-ap and pimecrolimus,graph_network,,True,,,"['4-ap', 'pimecrolimus']",True,,
Analyze the interaction network between diane-35 and nitroglycerin,graph_network,,True,,,"['diane-35', 'nitroglycerin']",True,,
Analyze the interaction network between riluzole and orlistat,graph_network,,True,,,"['riluzole', 'orlistat']",True,,
Analyze the interaction network between glimepiride and betamethasone,graph_network,,True,,,"['glimepiride', 'betamethasone']",True,,
Analyze the interaction network between valrubicin and ziprasidone,graph_network,,True,,,"['valrubicin', 'ziprasidone']",True,,
Analyze the interaction network between tesamorelin and meprobamate,graph_network,,True,,,"['tesamorelin', 'meprobamate']",True,,
Analyze the interaction network between levonorgestrel and fenofibrate,graph_network,,True,,,"['levonorgestrel', 'fenofibrate']",True,,
Analyze the interaction network between romidepsin and nsc,graph_network,,True,,,"['romidepsin', 'nsc']",True,,
Analyze the interaction network between zanamivir and exenatide,graph_network,,True,,,"['zanamivir', 'exenatide']",True,,
Analyze the interaction network between bimatoprost and hydroxyurea,graph_network,,True,,,"['bimatoprost', 'hydroxyurea']",True,,
Analyze the interaction network between fenoprofen and acipimox,graph_network,,True,,,"['fenoprofen', 'acipimox']",True,,
Analyze the interaction network between nevirapine and sparfloxacin,graph_network,,True,,,"['nevirapine', 'sparfloxacin']",True,,
Analyze the interaction network between nystatin and sibutramine,graph_network,,True,,,"['nystatin', 'sibutramine']",True,,
Analyze the interaction network between indapamide and thiazide,graph_network,,True,,,"['indapamide', 'thiazide']",True,,
Analyze the interaction network between prednisone and amifostine,graph_network,,True,,,"['prednisone', 'amifostine']",True,,
Analyze the interaction network between glucagon and telmisartan,graph_network,,True,,,"['glucagon', 'telmisartan']",True,,
Analyze the interaction network between digoxin and metoprolol,graph_network,,True,,,"['digoxin', 'metoprolol']",True,,
Analyze the interaction network between pixantrone and quinaprilat,graph_network,,True,,,"['pixantrone', 'quinaprilat']",True,,
Analyze the interaction network between retinoic and trifluorothymidine,graph_network,,True,,,"['retinoic', 'trifluorothymidine']",True,,
Analyze the interaction network between forteo and haloperidol,graph_network,,True,,,"['forteo', 'haloperidol']",True,,
Analyze the interaction network between diclofenac and nabumetone,graph_network,,True,,,"['diclofenac', 'nabumetone']",True,,
Analyze the interaction network between octreotide and atomoxetine,graph_network,,True,,,"['octreotide', 'atomoxetine']",True,,
Analyze the interaction network between atomoxetine and tirofiban,graph_network,,True,,,"['atomoxetine', 'tirofiban']",True,,
Analyze the interaction network between clotrimazole and sulconazole,graph_network,,True,,,"['clotrimazole', 'sulconazole']",True,,
Analyze the interaction network between pemirolast and moxifloxacin,graph_network,,True,,,"['pemirolast', 'moxifloxacin']",True,,
Analyze the interaction network between histamine and nuvaring,graph_network,,True,,,"['histamine', 'nuvaring']",True,,
Analyze the interaction network between crotamiton and granisetron,graph_network,,True,,,"['crotamiton', 'granisetron']",True,,
Analyze the interaction network between tramadol and metaxalone,graph_network,,True,,,"['tramadol', 'metaxalone']",True,,
Analyze the interaction network between benzocaine and cetirizine,graph_network,,True,,,"['benzocaine', 'cetirizine']",True,,
Analyze the interaction network between dabigatran and chlorpropamide,graph_network,,True,,,"['dabigatran', 'chlorpropamide']",True,,
Analyze the interaction network between pentosan and k779,graph_network,,True,,,"['pentosan', 'k779']",True,,
Analyze the interaction network between lutalyse and montelukast,graph_network,,True,,,"['lutalyse', 'montelukast']",True,,
Analyze the interaction network between didanosine and phenylpropanolamine,graph_network,,True,,,"['didanosine', 'phenylpropanolamine']",True,,
Analyze the interaction network between desmopressin and posaconazole,graph_network,,True,,,"['desmopressin', 'posaconazole']",True,,
Analyze the interaction network between iron and propantheline,graph_network,,True,,,"['iron', 'propantheline']",True,,
Analyze the interaction network between thiabendazole and granisetron,graph_network,,True,,,"['thiabendazole', 'granisetron']",True,,
Analyze the interaction network between trans and risperidone,graph_network,,True,,,"['trans', 'risperidone']",True,,
Analyze the interaction network between ephedrine and desloratadine,graph_network,,True,,,"['ephedrine', 'desloratadine']",True,,
Analyze the interaction network between felbamate and edta,graph_network,,True,,,"['felbamate', 'edta']",True,,
Analyze the interaction network between avanafil and diltiazem,graph_network,,True,,,"['avanafil', 'diltiazem']",True,,
Analyze the interaction network between ketamine and diethylenetriaminepentaacetic,graph_network,,True,,,"['ketamine', 'diethylenetriaminepentaacetic']",True,,
Analyze the interaction network between bimatoprost and hexachlorophene,graph_network,,True,,,"['bimatoprost', 'hexachlorophene']",True,,
Analyze the interaction network between apomorphine and sparfloxacin,graph_network,,True,,,"['apomorphine', 'sparfloxacin']",True,,
Analyze the interaction network between pimozide and lomitapide,graph_network,,True,,,"['pimozide', 'lomitapide']",True,,
Analyze the interaction network between benazepril and alcaftadine,graph_network,,True,,,"['benazepril', 'alcaftadine']",True,,
Analyze the interaction network between cilazapril and 6-thioguanine,graph_network,,True,,,"['cilazapril', '6-thioguanine']",True,,
Analyze the interaction network between doripenem and quetiapine,graph_network,,True,,,"['doripenem', 'quetiapine']",True,,
Find drug clusters based on ocular toxicity patterns,graph_cluster,,True,,,,,ocular,True
Find drug clusters based on psychiatric toxicity patterns,graph_cluster,,True,,,,,psychiatric,True
Find drug clusters based on dermatological toxicity patterns,graph_cluster,,True,,,,,dermatological,True
Find drug clusters based on musculoskeletal toxicity patterns,graph_cluster,,True,,,,,musculoskeletal,True
Find drug clusters based on immunological toxicity patterns,graph_cluster,,True,,,,,immunological,True
Find drug clusters based on hepatobiliary toxicity patterns,graph_cluster,,True,,,,,hepatobiliary,True
Find drug clusters based on otic toxicity patterns,graph_cluster,,True,,,,,otic,True
Find drug clusters based on respiratory toxicity patterns,graph_cluster,,True,,,,,respiratory,True
Find drug clusters based on neurological toxicity patterns,graph_cluster,,True,,,,,neurological,True
Find drug clusters based on hematological toxicity patterns,graph_cluster,,True,,,,,hematological,True
Find drug clusters based on cardiovascular toxicity patterns,graph_cluster,,True,,,,,cardiovascular,True
Find drug clusters based on endocrine toxicity patterns,graph_cluster,,True,,,,,endocrine,True
Find drug clusters based on renal toxicity patterns,graph_cluster,,True,,,,,renal,True
Find drug clusters based on gastrointestinal toxicity patterns,graph_cluster,,True,,,,,gastrointestinal,True
