query,query_type,drug,severity_filter,organ_filter,ground_truth,num_results
What moderate psychiatric side effects does oxycodone cause?,combination,oxycodone,moderate,psychiatric,"['delirium', 'agitation', 'hallucination', 'anxiety', 'respiratory depression', 'circulatory depression', 'electrocardiogram st segment depression', 'cns depression nos', 'confusional state']",9
What mild gastrointestinal side effects does oxycodone cause?,combination,oxycodone,mild,gastrointestinal,"['postoperative constipation', 'nausea', 'post procedural constipation', 'constipation']",4
List mild adverse events of oxycodone affecting the psychiatric system,combination,oxycodone,mild,psychiatric,['insomnia'],1
What moderate gastrointestinal side effects does oxazepam cause?,combination,oxazepam,moderate,gastrointestinal,"['abdominal pain', 'gastrointestinal pain']",2
List moderate adverse events of oxazepam affecting the neurological system,combination,oxazepam,moderate,neurological,"['ataxia', 'vertigo', 'tremor']",3
List moderate adverse events of oxazepam affecting the ocular system,combination,oxazepam,moderate,ocular,"['diplopia', 'vision blurred']",2
List mild adverse events of oxazepam affecting the gastrointestinal system,combination,oxazepam,mild,gastrointestinal,['nausea'],1
What mild neurological side effects does oxazepam cause?,combination,oxazepam,mild,neurological,"['dizziness', 'headache']",2
What moderate gastrointestinal side effects does zidovudine cause?,combination,zidovudine,moderate,gastrointestinal,"['vomiting', 'abdominal cramps', 'dyspepsia', 'gastrointestinal pain', 'gastrointestinal disorder', 'abdominal pain']",6
What moderate immunological side effects does zidovudine cause?,combination,zidovudine,moderate,immunological,"['vasculitis', 'autoimmune disorder']",2
What moderate psychiatric side effects does zidovudine cause?,combination,zidovudine,moderate,psychiatric,"['mania', 'anxiety', 'bone marrow depression', 'confusional state']",4
What mild gastrointestinal side effects does zidovudine cause?,combination,zidovudine,mild,gastrointestinal,"['nausea', 'constipation']",2
What mild psychiatric side effects does zidovudine cause?,combination,zidovudine,mild,psychiatric,['insomnia'],1
What moderate gastrointestinal side effects does lu cause?,combination,lu,moderate,gastrointestinal,"['vomiting', 'dyspepsia', 'gastrointestinal disorder']",3
What moderate neurological side effects does lu cause?,combination,lu,moderate,neurological,['vertigo'],1
List moderate adverse events of lu affecting the immunological system,combination,lu,moderate,immunological,['hypersensitivity'],1
List mild adverse events of lu affecting the gastrointestinal system,combination,lu,mild,gastrointestinal,"['nausea', 'constipation']",2
List mild adverse events of lu affecting the neurological system,combination,lu,mild,neurological,"['dizziness', 'headache']",2
What moderate gastrointestinal side effects does ibandronate cause?,combination,ibandronate,moderate,gastrointestinal,"['vomiting', 'dyspepsia', 'abdominal discomfort', 'gastrointestinal tract irritation', 'abdominal pain upper', 'gastritis', 'gastrointestinal pain', 'gastrointestinal disorder', 'abdominal pain']",9
What moderate dermatological side effects does ibandronate cause?,combination,ibandronate,moderate,dermatological,"['dermatitis', 'urticaria', 'dermatitis atopic', 'unspecified disorder of skin and subcutaneous tissue', 'benign neoplasm of skin', 'skin disorder', 'alopecia']",7
List moderate adverse events of ibandronate affecting the immunological system,combination,ibandronate,moderate,immunological,['hypersensitivity'],1
What mild gastrointestinal side effects does ibandronate cause?,combination,ibandronate,mild,gastrointestinal,"['nausea', 'constipation']",2
What mild dermatological side effects does ibandronate cause?,combination,ibandronate,mild,dermatological,"['pruritus', 'rash erythematous', 'rash papular', 'rash macular', 'rash', 'rash generalised']",6
List moderate adverse events of tolvaptan affecting the immunological system,combination,tolvaptan,moderate,immunological,['hypersensitivity'],1
List moderate adverse events of tolvaptan affecting the gastrointestinal system,combination,tolvaptan,moderate,gastrointestinal,"['gastrointestinal disorder', 'colitis ischaemic', 'gastrointestinal haemorrhage']",3
Show hematological toxicities of tolvaptan with moderate severity,combination,tolvaptan,moderate,hematological,['disseminated intravascular coagulation'],1
List mild adverse events of tolvaptan affecting the gastrointestinal system,combination,tolvaptan,mild,gastrointestinal,"['nausea', 'constipation']",2
List moderate adverse events of ivermectin affecting the gastrointestinal system,combination,ivermectin,moderate,gastrointestinal,"['vomiting', 'abdominal discomfort', 'abdominal pain upper', 'epigastric pain', 'gastrointestinal pain', 'abdominal distension', 'abdominal pain']",7
What moderate musculoskeletal side effects does ivermectin cause?,combination,ivermectin,moderate,musculoskeletal,"['myalgia', 'arthralgia']",2
What moderate respiratory side effects does ivermectin cause?,combination,ivermectin,moderate,respiratory,"['cough', 'asthma']",2
List mild adverse events of ivermectin affecting the gastrointestinal system,combination,ivermectin,mild,gastrointestinal,"['nausea', 'constipation']",2
List moderate adverse events of eliglustat affecting the musculoskeletal system,combination,eliglustat,moderate,musculoskeletal,['arthralgia'],1
List moderate adverse events of eliglustat affecting the gastrointestinal system,combination,eliglustat,moderate,gastrointestinal,"['dyspepsia', 'abdominal pain upper']",2
What moderate respiratory side effects does eliglustat cause?,combination,eliglustat,moderate,respiratory,['cough'],1
Show gastrointestinal toxicities of eliglustat with mild severity,combination,eliglustat,mild,gastrointestinal,"['nausea', 'constipation']",2
List moderate adverse events of fosfomycin affecting the gastrointestinal system,combination,fosfomycin,moderate,gastrointestinal,"['vomiting', 'dyspepsia', 'abdominal pain', 'gastrointestinal pain']",4
List moderate adverse events of fosfomycin affecting the respiratory system,combination,fosfomycin,moderate,respiratory,['asthma'],1
What mild gastrointestinal side effects does fosfomycin cause?,combination,fosfomycin,mild,gastrointestinal,"['nausea', 'constipation']",2
What moderate gastrointestinal side effects does midodrine cause?,combination,midodrine,moderate,gastrointestinal,"['dyspepsia', 'abdominal discomfort', 'gastrointestinal pain', 'gastrointestinal disorder', 'abdominal pain', 'distress gastrointestinal']",6
List moderate adverse events of midodrine affecting the psychiatric system,combination,midodrine,moderate,psychiatric,"['confusional state', 'anxiety', 'agitation']",3
List mild adverse events of midodrine affecting the gastrointestinal system,combination,midodrine,mild,gastrointestinal,['nausea'],1
List mild adverse events of midodrine affecting the psychiatric system,combination,midodrine,mild,psychiatric,['insomnia'],1
What mild neurological side effects does midodrine cause?,combination,midodrine,mild,neurological,"['dizziness', 'headache']",2
List severe adverse events of pergolide affecting the cardiovascular system,combination,pergolide,severe,cardiovascular,"['cardiac arrest', 'myocardial infarction']",2
What moderate gastrointestinal side effects does pergolide cause?,combination,pergolide,moderate,gastrointestinal,"['vomiting', 'dyspepsia', 'intestinal obstruction', 'colitis', 'gastritis', 'gastrointestinal pain', 'abdominal distension', 'abdominal pain', 'gastric ulcer']",9
What moderate dermatological side effects does pergolide cause?,combination,pergolide,moderate,dermatological,"['dermatitis', 'eczema', 'fungal skin infection', 'skin cancer', 'skin carcinoma', 'skin ulcer', 'skin discolouration', 'benign neoplasm of skin', 'dyskinesia', 'skin nodule', 'skin mass', 'seborrhoeic dermatitis', 'alopecia', 'dry skin', 'dermatitis bullous']",15
What moderate cardiovascular side effects does pergolide cause?,combination,pergolide,moderate,cardiovascular,"['hypotension', 'pulmonary embolism', 'angina pectoris', 'hypertension', 'pulmonary hypertension', 'orthostatic hypotension', 'palpitations', 'cardiac failure congestive', 'arrhythmia', 'block heart']",10
List mild adverse events of pergolide affecting the gastrointestinal system,combination,pergolide,mild,gastrointestinal,"['nausea', 'constipation']",2
Show dermatological toxicities of pergolide with mild severity,combination,pergolide,mild,dermatological,"['rash pustular', 'pruritus', 'vesiculobullous rash', 'rash']",4
What moderate gastrointestinal side effects does canagliflozin cause?,combination,canagliflozin,moderate,gastrointestinal,"['gastrointestinal disorder', 'abdominal pain', 'gastrointestinal pain']",3
Show renal toxicities of canagliflozin with moderate severity,combination,canagliflozin,moderate,renal,"['urinary tract disorder', 'cystitis', 'urinary tract infection', 'serum creatinine increased', 'blood creatinine increased', 'cystitis noninfective', 'kidney infection', 'renal failure acute']",8
Show endocrine toxicities of canagliflozin with moderate severity,combination,canagliflozin,moderate,endocrine,"['blood glucose decreased', 'diabetes mellitus', 'glucose low']",3
Show gastrointestinal toxicities of canagliflozin with mild severity,combination,canagliflozin,mild,gastrointestinal,"['nausea', 'constipation']",2
List moderate adverse events of lactulose affecting the gastrointestinal system,combination,lactulose,moderate,gastrointestinal,"['vomiting', 'abdominal discomfort', 'intestinal cramps', 'gastrointestinal pain', 'abdominal distension']",5
List moderate adverse events of lactulose affecting the musculoskeletal system,combination,lactulose,moderate,musculoskeletal,"['cramp muscle', 'muscle spasms']",2
What mild gastrointestinal side effects does lactulose cause?,combination,lactulose,mild,gastrointestinal,['nausea'],1
Show dermatological toxicities of retapamulin with moderate severity,combination,retapamulin,moderate,dermatological,"['eczema', 'skin disorder', 'dermatitis contact', 'unspecified disorder of skin and subcutaneous tissue']",4
Show immunological toxicities of retapamulin with moderate severity,combination,retapamulin,moderate,immunological,['hypersensitivity'],1
List mild adverse events of retapamulin affecting the dermatological system,combination,retapamulin,mild,dermatological,"['pruritus', 'application site pruritus']",2
Show neurological toxicities of retapamulin with mild severity,combination,retapamulin,mild,neurological,['headache'],1
List severe adverse events of sotalol affecting the cardiovascular system,combination,sotalol,severe,cardiovascular,['myocardial infarction'],1
List moderate adverse events of sotalol affecting the gastrointestinal system,combination,sotalol,moderate,gastrointestinal,"['vomiting', 'dyspepsia', 'gastrointestinal pain', 'abdominal distension', 'colitis ischaemic', 'abdominal pain']",6
Show dermatological toxicities of sotalol with moderate severity,combination,sotalol,moderate,dermatological,"['dermatitis', 'alopecia reversible', 'alopecia', 'photosensitivity reaction']",4
What moderate cardiovascular side effects does sotalol cause?,combination,sotalol,moderate,cardiovascular,"['proarrhythmia', 'tachyarrhythmia', 'hypotension', 'cardiovascular disorder', 'arterial thrombosis', 'hypertension', 'angina pectoris', 'heartburn', 'palpitations', 'cardiac pain', 'cardiac failure', 'arrhythmia']",12
What mild gastrointestinal side effects does sotalol cause?,combination,sotalol,mild,gastrointestinal,['nausea'],1
What mild dermatological side effects does sotalol cause?,combination,sotalol,mild,dermatological,"['pruritus', 'rash']",2
List moderate adverse events of dolasetron affecting the gastrointestinal system,combination,dolasetron,moderate,gastrointestinal,"['dyspepsia', 'intestinal obstruction', 'gastrointestinal pain', 'abdominal distension', 'abdominal pain']",5
Show immunological toxicities of dolasetron with moderate severity,combination,dolasetron,moderate,immunological,['hypersensitivity'],1
List moderate adverse events of dolasetron affecting the psychiatric system,combination,dolasetron,moderate,psychiatric,"['confusional state', 'anxiety', 'agitation']",3
List mild adverse events of dolasetron affecting the gastrointestinal system,combination,dolasetron,mild,gastrointestinal,['constipation'],1
List moderate adverse events of progesterone affecting the gastrointestinal system,combination,progesterone,moderate,gastrointestinal,"['vomiting', 'dyspepsia', 'abdominal discomfort', 'abdominal bloating', 'gastritis', 'gastrointestinal pain', 'gastrointestinal disorder', 'abdominal distension', 'abdominal pain']",9
What moderate dermatological side effects does progesterone cause?,combination,progesterone,moderate,dermatological,"['dermatitis', 'urticaria', 'skin papilloma', 'skin discolouration', 'unspecified disorder of skin and subcutaneous tissue', 'skin disorder', 'alopecia', 'seborrhoeic dermatitis', 'dermatitis hemorrhagic']",9
List moderate adverse events of progesterone affecting the immunological system,combination,progesterone,moderate,immunological,['hypersensitivity'],1
Show gastrointestinal toxicities of progesterone with mild severity,combination,progesterone,mild,gastrointestinal,"['nausea', 'constipation']",2
Show dermatological toxicities of progesterone with mild severity,combination,progesterone,mild,dermatological,"['pruritus', 'pruritus genital', 'rash', 'vulvovaginal pruritus', 'rash generalised']",5
What severe cardiovascular side effects does abiraterone cause?,combination,abiraterone,severe,cardiovascular,['myocardial infarction'],1
Show cardiovascular toxicities of abiraterone with moderate severity,combination,abiraterone,moderate,cardiovascular,"['cardiac disorder', 'myocardial ischaemia', 'hypertension', 'cardiac failure', 'arrhythmia']",5
List moderate adverse events of abiraterone affecting the gastrointestinal system,combination,abiraterone,moderate,gastrointestinal,"['vomiting', 'gastrointestinal disorder', 'dyspepsia']",3
List moderate adverse events of abiraterone affecting the respiratory system,combination,abiraterone,moderate,respiratory,"['upper respiratory tract infection', 'cough', 'pneumonia', 'cardio-respiratory arrest']",4
What mild gastrointestinal side effects does abiraterone cause?,combination,abiraterone,mild,gastrointestinal,['constipation'],1
What moderate cardiovascular side effects does vallergan cause?,combination,vallergan,moderate,cardiovascular,"['arrhythmia supraventricular', 'cardiac disorder', 'hypotension', 'orthostatic hypotension', 'atrial arrhythmia', 'arrhythmia', 'cardiac fibrillation']",7
What moderate dermatological side effects does vallergan cause?,combination,vallergan,moderate,dermatological,"['dermatitis', 'tardive dyskinesia', 'skin sensitisation', 'dyskinesia', 'photosensitivity reaction', 'photosensitivity']",6
List moderate adverse events of vallergan affecting the hepatobiliary system,combination,vallergan,moderate,hepatobiliary,"['jaundice cholestatic', 'jaundice']",2
List mild adverse events of vallergan affecting the dermatological system,combination,vallergan,mild,dermatological,['rash'],1
List moderate adverse events of vandetanib affecting the gastrointestinal system,combination,vandetanib,moderate,gastrointestinal,"['vomiting', 'dyspepsia', 'abdominal wall abscess', 'colitis', 'gastritis', 'gastrointestinal pain', 'gastrointestinal disorder', 'small intestinal perforation', 'abdominal pain', 'pneumatosis intestinalis', 'intestinal perforation', 'gastrointestinal haemorrhage']",12
List moderate adverse events of vandetanib affecting the dermatological system,combination,vandetanib,moderate,dermatological,"['dermatitis', 'skin ulcer', 'unspecified disorder of skin and subcutaneous tissue', 'dermatitis acneiform', 'skin disorder', 'alopecia', 'photosensitivity reaction', 'dry skin', 'dermatitis bullous']",9
Show renal toxicities of vandetanib with moderate severity,combination,vandetanib,moderate,renal,"['urinary tract disorder', 'cystitis', 'cholecystitis', 'renal colic', 'urinary tract infection', 'creatinine increased', 'serum creatinine increased', 'blood creatinine increased', 'cystitis noninfective', 'nephrolithiasis', 'anuria', 'renal failure', 'nephropathy']",13
Show gastrointestinal toxicities of vandetanib with mild severity,combination,vandetanib,mild,gastrointestinal,"['nausea', 'constipation']",2
Show dermatological toxicities of vandetanib with mild severity,combination,vandetanib,mild,dermatological,"['pruritus', 'rash']",2
What moderate gastrointestinal side effects does venlafaxine cause?,combination,venlafaxine,moderate,gastrointestinal,"['vomiting', 'dyspepsia', 'intestinal obstruction', 'gastric ph decreased', 'colitis', 'gastritis', 'gastrointestinal pain', 'abdominal distension', 'gastrointestinal ulcer', 'abdominal pain', 'gastrointestinal haemorrhage']",11
Show dermatological toxicities of venlafaxine with moderate severity,combination,venlafaxine,moderate,dermatological,"['dermatitis', 'eczema', 'tardive dyskinesia', 'urticaria', 'dermatitis exfoliative', 'skin atrophy', 'skin discolouration', 'dermatitis bullous', 'dyskinesia', 'skin hypertrophy', 'seborrhoeic dermatitis', 'photosensitivity reaction', 'dry skin', 'dermatitis contact', 'alopecia', 'skin striae', 'skin odour abnormal', 'psoriasis']",18
List moderate adverse events of venlafaxine affecting the immunological system,combination,venlafaxine,moderate,immunological,['hypersensitivity'],1
Show gastrointestinal toxicities of venlafaxine with mild severity,combination,venlafaxine,mild,gastrointestinal,"['nausea', 'constipation']",2
List mild adverse events of venlafaxine affecting the dermatological system,combination,venlafaxine,mild,dermatological,"['pruritus', 'vesiculobullous rash', 'rash', 'rash maculo-papular', 'rash pustular']",5
Show cardiovascular toxicities of iodixanol with severe severity,combination,iodixanol,severe,cardiovascular,"['cardiac arrest', 'myocardial infarction']",2
What moderate gastrointestinal side effects does iodixanol cause?,combination,iodixanol,moderate,gastrointestinal,"['vomiting', 'dyspepsia', 'gastrointestinal pain', 'gastrointestinal disorder', 'abdominal pain']",5
Show cardiovascular toxicities of iodixanol with moderate severity,combination,iodixanol,moderate,cardiovascular,"['cardiac disorder', 'hypotension', 'myocardial ischaemia', 'ventricular arrhythmia', 'angina pectoris', 'hypertension', 'cardiac failure', 'thrombosis']",8
What mild gastrointestinal side effects does iodixanol cause?,combination,iodixanol,mild,gastrointestinal,['nausea'],1
What moderate dermatological side effects does mephenytoin cause?,combination,mephenytoin,moderate,dermatological,"['dermatitis', 'dermatitis exfoliative', 'pigmentation skin', 'alopecia']",4
Show neurological toxicities of mephenytoin with moderate severity,combination,mephenytoin,moderate,neurological,"['ataxia', 'tremor']",2
Show psychiatric toxicities of mephenytoin with moderate severity,combination,mephenytoin,moderate,psychiatric,['confusional state'],1
List mild adverse events of mephenytoin affecting the dermatological system,combination,mephenytoin,mild,dermatological,['rash'],1
What mild neurological side effects does mephenytoin cause?,combination,mephenytoin,mild,neurological,['dizziness'],1
Show psychiatric toxicities of mephenytoin with mild severity,combination,mephenytoin,mild,psychiatric,['insomnia'],1
List moderate adverse events of aclidinium affecting the respiratory system,combination,aclidinium,moderate,respiratory,"['cough', 'cardio-respiratory arrest', 'bronchospasm paradoxical']",3
What moderate endocrine side effects does aclidinium cause?,combination,aclidinium,moderate,endocrine,['diabetes mellitus'],1
What moderate gastrointestinal side effects does aclidinium cause?,combination,aclidinium,moderate,gastrointestinal,"['vomiting', 'gastrointestinal disorder']",2
What severe cardiovascular side effects does formoterol cause?,combination,formoterol,severe,cardiovascular,['myocardial infarction'],1
Show gastrointestinal toxicities of formoterol with moderate severity,combination,formoterol,moderate,gastrointestinal,"['vomiting', 'dyspepsia', 'gastritis', 'gastrointestinal pain', 'gastrointestinal disorder', 'abdominal pain']",6
What moderate immunological side effects does formoterol cause?,combination,formoterol,moderate,immunological,"['hypersensitivity', 'rhinitis allergic']",2
What moderate cardiovascular side effects does formoterol cause?,combination,formoterol,moderate,cardiovascular,"['cardiac disorder', 'tachyarrhythmia', 'hypotension', 'angina pectoris', 'hypertension', 'palpitations', 'cardiac failure congestive', 'arrhythmia', 'block heart']",9
Show gastrointestinal toxicities of formoterol with mild severity,combination,formoterol,mild,gastrointestinal,"['nausea', 'constipation']",2
Show dermatological toxicities of spinosad with moderate severity,combination,spinosad,moderate,dermatological,"['alopecia', 'dry skin']",2
Show gastrointestinal toxicities of 4-methylpyrazole with moderate severity,combination,4-methylpyrazole,moderate,gastrointestinal,"['vomiting', 'dyspepsia', 'abdominal pain', 'gastrointestinal pain']",4
List moderate adverse events of 4-methylpyrazole affecting the renal system,combination,4-methylpyrazole,moderate,renal,['anuria'],1
What moderate psychiatric side effects does 4-methylpyrazole cause?,combination,4-methylpyrazole,moderate,psychiatric,"['anxiety', 'agitation']",2
List mild adverse events of 4-methylpyrazole affecting the gastrointestinal system,combination,4-methylpyrazole,mild,gastrointestinal,['nausea'],1
What moderate dermatological side effects does tadenan cause?,combination,tadenan,moderate,dermatological,"['dermatitis', 'dry skin']",2
What mild dermatological side effects does tadenan cause?,combination,tadenan,mild,dermatological,"['pruritus', 'rash']",2
What mild neurological side effects does tadenan cause?,combination,tadenan,mild,neurological,['headache'],1
Show gastrointestinal toxicities of trisequens with moderate severity,combination,trisequens,moderate,gastrointestinal,"['vomiting', 'dyspepsia', 'abdominal discomfort', 'abdominal bloating', 'gastrointestinal pain', 'gastrointestinal disorder', 'abdominal distension', 'abdominal pain']",8
List moderate adverse events of trisequens affecting the dermatological system,combination,trisequens,moderate,dermatological,"['dermatitis', 'urticaria', 'unspecified disorder of skin and subcutaneous tissue', 'skin disorder', 'seborrhoeic dermatitis', 'alopecia']",6
What moderate immunological side effects does trisequens cause?,combination,trisequens,moderate,immunological,['hypersensitivity'],1
List mild adverse events of trisequens affecting the gastrointestinal system,combination,trisequens,mild,gastrointestinal,['nausea'],1
List mild adverse events of trisequens affecting the dermatological system,combination,trisequens,mild,dermatological,"['pruritus', 'rash', 'vulvovaginal pruritus']",3
List moderate adverse events of terbinafine affecting the gastrointestinal system,combination,terbinafine,moderate,gastrointestinal,"['vomiting', 'abdominal cramps', 'abdominal discomfort', 'dyspepsia', 'abdominal pain upper', 'gastritis', 'gastrointestinal symptom nos', 'gastrointestinal pain', 'gastrointestinal disorder', 'vasculitis gastrointestinal', 'abdominal pain']",11
List moderate adverse events of terbinafine affecting the dermatological system,combination,terbinafine,moderate,dermatological,"['photosensitivity reaction', 'dermatitis', 'eczema', 'urticaria', 'photosensitivity allergic reaction', 'unspecified disorder of skin and subcutaneous tissue', 'dermatitis psoriasiform', 'dermatitis bullous', 'skin discolouration', 'skin hyperpigmentation', 'skin exfoliation', 'skin disorder', 'photosensitivity', 'dermatitis exfoliative', 'psoriasis flare-up', 'toxic skin eruption', 'dermatitis contact', 'alopecia', 'psoriasis']",19
Show immunological toxicities of terbinafine with moderate severity,combination,terbinafine,moderate,immunological,"['hypersensitivity', 'vasculitis', 'lupus erythematosus', 'systemic lupus erythematosus']",4
What mild gastrointestinal side effects does terbinafine cause?,combination,terbinafine,mild,gastrointestinal,['nausea'],1
What mild dermatological side effects does terbinafine cause?,combination,terbinafine,mild,dermatological,"['pruritus', 'rash generalised', 'rash', 'rash erythematous']",4
List moderate adverse events of gemfibrozil affecting the gastrointestinal system,combination,gemfibrozil,moderate,gastrointestinal,"['vomiting', 'dyspepsia', 'colitis', 'abdominal pain upper', 'epigastric pain', 'gastrointestinal pain', 'gastrointestinal disorder', 'reaction gastrointestinal', 'abdominal pain']",9
Show dermatological toxicities of gemfibrozil with moderate severity,combination,gemfibrozil,moderate,dermatological,"['dermatitis', 'eczema', 'dermatitis exfoliative', 'urticaria', 'unspecified disorder of skin and subcutaneous tissue', 'skin disorder', 'alopecia', 'photosensitivity', 'photosensitivity reaction']",9
Show immunological toxicities of gemfibrozil with moderate severity,combination,gemfibrozil,moderate,immunological,"['vasculitis', 'lupus-like syndrome']",2
List mild adverse events of gemfibrozil affecting the gastrointestinal system,combination,gemfibrozil,mild,gastrointestinal,"['nausea', 'constipation']",2
