query,query_type,drug,severity_filter,ground_truth,num_results
Find all moderate toxicities of clindamycin,severity_filtered,clindamycin,moderate,"['hypersensitivity', 'upper respiratory tract infection', 'neutropenia', 'abdominal pain upper', 'folliculitis', 'gastrointestinal symptom nos', 'chest tightness', 'seborrhoeic dermatitis', 'abdominal pain localised', 'dermatitis', 'vaginal irritation', 'localised oedema', 'vulvovaginal disorder', 'swelling', 'metrorrhagia', 'vulvovaginal burning sensation', 'vulvovaginal pain', 'stinging', 'jaundice', 'vaginal pain', 'hypoaesthesia', 'distress gastrointestinal', 'skin irritation', 'abdominal bloating', 'application site reaction', 'dyspnoea', 'hypertension', 'gastrointestinal disorder', 'skin exfoliation', 'dysgeusia', 'vulvovaginal dryness', 'aphonia', 'vaginal haemorrhage', 'oliguria', 'other acne', 'oesophagitis', 'dermatitis exfoliative', 'pimples', 'pseudomembranous colitis', 'injection site irritation', 'eruption', 'gastrointestinal pain', 'diarrhoea haemorrhagic', 'flushing', 'vulvovaginal discomfort', 'localized erythema', 'chest discomfort', 'mental disorder', 'tracheitis', 'oesophageal ulcer', 'vertigo', 'infestation nos', 'body temperature increased', 'measles', 'tonsillitis', 'vulvitis', 'muscle spasms', 'abnormal labour', 'erythema', 'thrombocytopenia', 'asthenia', 'erythema facial', 'digestion impaired', 'abscess', 'azotaemia', 'eosinophilia', 'hyperthyroidism', 'dyspepsia', 'redness', 'skin discolouration', 'burning feeling vagina', 'blister', 'sinusitis', 'local reaction', 'candida infection', 'oily skin', 'generalized aching', 'prurigo', 'cystitis', 'leukopenia', 'vulvovaginal candidiasis', 'multiple fractures', 'pain', 'abdominal cramps', 'hypotension', 'bladder infection', 'infestation', 'cramp muscle', 'acne', 'thrombophlebitis', 'swelling face', 'weight decreased', 'cough', 'haematochezia', 'colitis', 'urinary tract infection', 'anxiety', 'leukocytosis', 'superinfection', 'skin scaly', 'vulvovaginal swelling', 'ulcer', 'flatulence', 'cardio-respiratory arrest', 'tenderness', 'acute generalised exanthematous pustulosis', 'application site pain', 'thrombophlebitis superficial', 'abdominal distension', 'epistaxis', 'polyarthritis', 'abdominal discomfort', 'taste bitter', 'pyelonephritis', 'vaginal discharge', 'fracture', 'heartburn', 'pain of skin', 'induration', 'application site burn', 'alopecia', 'inflammatory swelling', 'protein urine present', 'welts', 'fungal infection', 'watery diarrhoea', 'laryngitis', 'numbness facial', 'oropharyngeal pain', 'vomiting', 'vulvovaginitis', 'clostridium difficile colitis', 'instillation site pain', 'vaginal moniliasis', 'photosensitivity reaction', 'erythema multiforme', 'dry skin', 'agranulocytosis', 'pelvic pain', 'taste metallic', 'oedema', 'flank pain', 'vulval erythema', 'dysuria', 'urticaria', 'application site erythema', 'oropharyngeal discomfort', 'localized exfoliation', 'hepatic enzyme increased', 'anaemia', 'application site dryness', 'rectal haemorrhage', 'breath odour', 'vaginal infection', 'dermatitis bullous', 'vaginal erythema', 'trichomonal vaginitis', 'bacterial infection', 'vaginal inflammation', 'vulvovaginal mycotic infection', 'vulvovaginitis trichomonal', 'discomfort', 'burning sensation', 'menstrual disorder', 'exacerbation of acne', 'stomach cramps', 'sunburn', 'inflammation', 'vulvovaginal erythema', 'throat sore', 'fungal skin infection', 'back pain', 'vaginal swelling', 'abdominal pain generalised', 'antibiotic associated colitis', 'eye irritation', 'dermatitis contact', 'diarrhoea', 'abdominal pain', 'endometriosis']",180
Show mild moderate reactions to clindamycin,severity_filtered,clindamycin,mild_moderate,"['proteinuria', 'tachycardia']",2
List mild adverse events of clindamycin,severity_filtered,clindamycin,mild,"['application site rash', 'dizziness', 'pruritus', 'headache', 'rash erythematous', 'fatigue', 'vesiculobullous rash', 'constipation', 'rash', 'application site pruritus', 'rash maculo-papular', 'rash pustular', 'nausea']",13
Show fatal reactions to zyprexa,severity_filtered,zyprexa,fatal,"['sudden death, cause unknown', 'sudden death']",2
Show life threatening reactions to zyprexa,severity_filtered,zyprexa,life_threatening,"['diabetic hyperglycaemic coma', 'anaphylactic shock', 'gynaecomastia', 'anaphylactoid reaction', 'diabetic coma', 'coma']",6
What severe side effects does zyprexa cause?,severity_filtered,zyprexa,severe,"['rhabdomyolysis', 'cardiac arrest']",2
What moderate severe side effects does zyprexa cause?,severity_filtered,zyprexa,moderate_severe,['pancreatitis'],1
What moderate side effects does zyprexa cause?,severity_filtered,zyprexa,moderate,"['hypersensitivity', 'neutropenia', 'oedema peripheral', 'dementia', 'gait disturbance', 'dermatitis', 'musculoskeletal discomfort', 'loss of consciousness', 'pulmonary embolism', 'weight increased', 'dyskinesia', 'jaundice', 'glycosuria', 'angioedema', 'ataxia', 'blood triglycerides increased', 'sweating', 'torsade de pointes', 'hypertension', 'bilirubin total increased', 'blood creatine phosphokinase increased', 'aspartate aminotransferase increased', 'embolism venous', 'increased prolactin level', 'erectile dysfunction', 'injection site abscess', 'aggression', 'hepatobiliary disease', 'body temperature increased', 'lethargy', 'confusional state', 'diabetes mellitus', 'delirium', 'agitation', 'thrombocytopenia', 'ventricular arrhythmia', 'blood uric acid increased', 'asthenia', 'priapism', 'speech disorder', 'glucose increased', 'arthralgia', 'eosinophilia', 'hepatitis', ""parkinson's disease"", 'hyperglycaemia', 'extrapyramidal symptoms', 'orthostatic hypotension', 'prl increased', 'leukopenia', 'hypotension', 'urinary retention', 'dysarthria', 'weight decreased', 'cognitive disorder', 'amnesia', 'anxiety', 'extrapyramidal disorder', 'somnolence', 'tremor', 'galactorrhoea', 'abdominal distension', 'hypertriglyceridaemia', 'gamma-glutamyltransferase increased', 'libido decreased', 'epistaxis', 'blood prolactin increased', 'alopecia', 'pneumonia', 'blood alkaline phosphatase increased', 'deep vein thrombosis', 'vomiting', 'diabetic ketoacidosis', 'obesity', 'increased appetite', 'shock', 'akathisia', 'breast enlargement', 'photosensitivity reaction', 'bilirubin total decreased', 'osteoarthritis', 'hyperhidrosis', 'phosphatase alkaline increased', 'urticaria', 'creatine phosphokinase increased', 'blood bilirubin increased', 'blood glucose increased', 'hypercholesterolaemia', 'parkinsonism', 'neuroleptic malignant syndrome', 'urinary incontinence', 'feeling abnormal', 'syncope', 'amenorrhoea', 'urinary hesitation', 'cognitive impairment', 'tardive dyskinesia', 'hypersomnia', 'hallucination', 'disturbance in sexual arousal', 'blood bilirubin decreased', 'convulsion', 'venous thromboembolism', 'uric acid high', 'bilirubin total low']",105
Find all mild moderate toxicities of zyprexa,severity_filtered,zyprexa,mild_moderate,"['bradycardia', 'tachycardia']",2
List mild adverse events of zyprexa,severity_filtered,zyprexa,mild,"['dizziness', 'pruritus', 'fatigue', 'constipation', 'rash', 'nausea', 'dry mouth', 'insomnia']",8
Show fatal reactions to misoprostol,severity_filtered,misoprostol,fatal,['foetal death'],1
List life threatening adverse events of misoprostol,severity_filtered,misoprostol,life_threatening,"['anaphylactic shock', 'anaphylactoid syndrome of pregnancy']",2
List severe adverse events of misoprostol,severity_filtered,misoprostol,severe,['myocardial infarction'],1
Show moderate reactions to misoprostol,severity_filtered,misoprostol,moderate,"['hypersensitivity', 'upper respiratory tract infection', 'uterine spasm', 'breast disorder', 'gastrointestinal haemorrhage', 'dermatitis', 'musculoskeletal discomfort', 'loss of consciousness', 'pulmonary embolism', 'embolism', 'metrorrhagia', 'retained placenta', 'glycosuria', 'chills', 'dyspnoea', 'dehydration', 'hypertension', 'acute coronary syndrome', 'abortion incomplete', 'inflammatory bowel disease', 'uterine haemorrhage', 'vaginal haemorrhage', 'sweating increased', 'neuropathy', 'urine output increased', 'gastrointestinal pain', 'vascular purpura', 'cardiac enzymes increased', 'rigors', 'erectile dysfunction', 'abnormal vision', 'pregnancy', 'drowsiness', 'body temperature increased', 'muscle spasms', 'confusional state', 'rectal disorder', 'musculoskeletal stiffness', 'thrombocytopenia', 'asthenia', 'arthralgia', 'dyspepsia', 'genital disorder female', 'ache', 'red blood cell sedimentation rate increased', 'haematuria', 'bronchospasm', 'arterial thrombosis', 'developmental delay', 'pain', 'gout', 'myalgia', 'amniotic fluid embolism', 'arrhythmia', 'visual impairment', 'hypotension', 'dysmenorrhoea', 'cramp muscle', 'thromboembolic event', 'infection', 'neurosis', 'retained placenta or membranes', 'loss of libido', 'dysphagia', 'premature delivery', 'congenital anomaly', 'urinary tract infection', 'anxiety', 'tinnitus', 'premature baby', 'somnolence', 'breast pain', 'gingivitis', 'ear pain', 'flatulence', 'purpura', 'uterine contractions during pregnancy', 'polyuria', 'neuropathy peripheral', 'epistaxis', 'stiffness', 'chest pain', 'menorrhagia', 'alopecia', 'pneumonia', 'blood alkaline phosphatase increased', 'phlebitis', 'vomiting', 'uterine contractions', 'shock', 'immune system disorder', 'anorectal disorder', 'hyperhidrosis', 'oedema', 'uterine rupture', 'phosphatase alkaline increased', 'dysuria', 'pallor', 'deafness', 'uterine cramps', 'anaemia', 'thirst', 'conjunctivitis', 'feeling abnormal', 'syncope', 'menstrual disorder', 'inflammation', 'back pain', 'bronchitis', 'diarrhoea', 'abdominal pain']",111
List mild adverse events of misoprostol,severity_filtered,misoprostol,mild,"['dizziness', 'headache', 'fatigue', 'constipation', 'rash', 'nausea']",6
Show life threatening reactions to rosuvastatin,severity_filtered,rosuvastatin,life_threatening,['gynaecomastia'],1
Show severe reactions to rosuvastatin,severity_filtered,rosuvastatin,severe,['rhabdomyolysis'],1
List moderate severe adverse events of rosuvastatin,severity_filtered,rosuvastatin,moderate_severe,['pancreatitis'],1
Find all moderate toxicities of rosuvastatin,severity_filtered,rosuvastatin,moderate,"['hypersensitivity', 'myoglobin urine present', 'hepatic failure', 'drug interaction', 'immune-mediated necrotising myopathy', 'depression', 'myoglobinuria', 'protein urine present', 'infection', 'breast disorder', 'renal failure acute', 'memory impairment', 'hepatobiliary disease', 'microscopic hematuria', 'nephropathy', 'cough', 'cognitive disorder', 'confusional state', 'dermatitis', 'urticaria', 'diabetes mellitus', 'creatine phosphokinase increased', 'influenza', 'amnesia', 'musculoskeletal discomfort', 'myositis', 'thrombocytopenia', 'urinary tract infection', 'hepatic enzyme increased', 'asthenia', 'memory loss', 'sleep disorder', 'pharyngitis', 'blood disorder', 'jaundice', 'musculoskeletal disorder', 'paraesthesia', 'angioedema', 'arthralgia', 'dyspepsia', 'flatulence', 'hepatitis', 'cough increased', 'injury', 'feeling abnormal', 'forgetfulness', 'sinusitis', 'muscle swelling', 'accidental injury', 'myopathy', 'neuropathy peripheral', 'blood creatine phosphokinase increased', 'cognitive impairment', 'haematuria', 'muscular weakness', 'arrhythmia', 'rhinitis', 'gastroenteritis', 'gastrointestinal pain', 'bronchitis', 'nightmare', 'pain', 'myalgia', 'diarrhoea', 'hypertonia', 'nervous system disorder', 'abdominal pain', 'mental disorder', 'urine analysis abnormal']",69
Find all mild moderate toxicities of rosuvastatin,severity_filtered,rosuvastatin,mild_moderate,['proteinuria'],1
What mild side effects does rosuvastatin cause?,severity_filtered,rosuvastatin,mild,"['dizziness', 'pruritus', 'headache', 'constipation', 'rash', 'nausea', 'insomnia']",7
List life threatening adverse events of ustekinumab,severity_filtered,ustekinumab,life_threatening,['anaphylactic shock'],1
What severe side effects does ustekinumab cause?,severity_filtered,ustekinumab,severe,"['facial paralysis', 'viith nerve paralysis', 'myocardial infarction']",3
Show moderate reactions to ustekinumab,severity_filtered,ustekinumab,moderate,"['hypersensitivity', 'upper respiratory tract infection', 'sepsis', 'infestation', 'herpes zoster', 'osteomyelitis', 'viral upper respiratory tract infection', 'cerebrovascular accident', 'mediastinal disorder', 'depression', 'infestation nos', 'infection', 'immune system disorder', 'nasal congestion', 'dermatitis', 'injection site reaction', 'nasopharyngitis', 'urticaria', 'injection site pain', 'musculoskeletal discomfort', 'unspecified disorder of skin and subcutaneous tissue', 'urinary tract infection', 'swelling', 'anxiety', 'viral infection', 'asthenia', 'laryngeal pain', 'oropharyngeal pain', 'angioedema', 'arthralgia', 'contusion', 'skin cancer', 'cholecystitis', 'tooth infection', 'melanoma skin', 'breast cancer', 'erythrodermic psoriasis', 'acute coronary syndrome', 'gastrointestinal disorder', 'pharyngolaryngeal pain', 'skin disorder', 'tuberculosis', 'diverticulitis', 'cellulitis', 'haemorrhage', 'haemoglobin', 'appendicitis', 'connective tissue disorder', 'back pain', 'malignant melanoma', 'skin carcinoma', 'posterior reversible encephalopathy syndrome', 'injection site erythema', 'gastroenteritis', 'pustular psoriasis', 'haematoma', 'pain', 'myalgia', 'induration', 'diarrhoea', 'neoplasm malignant', 'nervous system disorder', 'pneumonia', 'mental disorder']",64
List mild adverse events of ustekinumab,severity_filtered,ustekinumab,mild,"['dizziness', 'pruritus', 'headache', 'fatigue', 'rash', 'nausea']",6
List life threatening adverse events of oxycodone,severity_filtered,oxycodone,life_threatening,"['respiratory failure', 'anaphylactic shock', 'anaphylactoid reaction', 'coma']",4
List severe adverse events of oxycodone,severity_filtered,oxycodone,severe,['cardiac arrest'],1
Show moderate reactions to oxycodone,severity_filtered,oxycodone,moderate,"['hypersensitivity', 'nasopharyngitis', 'dental caries', 'accidental overdose', 'abdominal pain upper', 'oedema peripheral', 'chest tightness', 'sedation', 'alcohol abuse', 'hypokinesia', 'breast disorder', 'breakthrough pain', 'cardiac failure', 'eructation', 'gait disturbance', 'dermatitis', 'injection site hypersensitivity', 'biliary colic', 'disease progression', 'melaena', 'musculoskeletal discomfort', 'loss of consciousness', 'vt', 'choking', 'swelling', 'respiratory depression', 'anorexia', 'faecaloma', 'amblyopia', 'cholestasis', 'hypoaesthesia', 'angioedema', 'chills', 'faecalith', 'impaired gastric emptying', ""addison's disease"", 'respiration abnormal', 'dyspnoea', 'sweating', 'urination impaired', 'dehydration', 'hypogonadism', 'gastrointestinal disorder', 'endocrine disorder', 'dysgeusia', 'cardiovascular insufficiency', 'hyponatraemia', 'hypotonia', 'wheezing', 'ear and labyrinth disorders', 'nervousness', 'bronchoconstriction', 'urine output increased', 'dermatitis exfoliative', 'drug dependence', 'muscle twitching', 'hyperventilation', 'lung disorder', 'ill-defined disorder', 'circulatory depression', 'gastrointestinal pain', 'flushing', 'apnoea', 'chest discomfort', 'fullness abdominal', 'bone pain', 'uremia', 'mental disorder', 'affect lability', 'face oedema', 'erectile dysfunction', 'vasodilation procedure', 'rhinorrhoea', 'vertigo', 'abnormal vision', 'thinking abnormal', 'glossitis', 'personality disorder', 'iron deficiency anaemia', 'urethral stenosis', 'hepatobiliary disease', 'infestation nos', 'drowsiness', 'body temperature increased', 'pain worsened', 'regurgitation', 'tumour invasion', 'muscle relaxant therapy', 'confusional state', 'head injury', 'cardiac disorder', 'muscle spasms', 'sneezing', 'gastric atony', 'delirium', 'laryngospasm', 'agitation', 'shivering', 'gingival bleeding', 'cold sweat', 'dependence', 'lymphadenopathy', 'asthenia', 'substance abuse', 'speech disorder', 'hyperpathia', 'palpitations', 'azotaemia', 'muscle tone flaccid', 'arthralgia', 'dyspepsia', 'hepatitis', 'delayed gastric emptying', 'abnormal dreams', 'mental disability', 'neuralgia', 'blister', 'sinusitis', 'hyperglycaemia', 'ileus paralytic', 'malnutrition', 'orthostatic hypotension', 'drug withdrawal syndrome', 'skin disorder', 'mood swings', 'metastases to central nervous system', 'ache', 'skin cold clammy', 'irritability', 'cellulitis', 'stupor', 'angiopathy', 'haemoglobin', 'haematuria', 'bronchospasm', 'blood and lymphatic system disorders', 'rhinitis', 'depressed level of consciousness', 'hepatomegaly', 'retching', 'leukopenia', 'ileus', 'pain', 'blood pressure increased', 'gout', 'myalgia', 'withdrawal syndrome', 'visual impairment', 'hiccups', 'abdominal cramps', 'hypotension', 'asthenic conditions', 'drug interaction', 'urinary retention', 'sepsis', 'dysphoria', 'infestation', 'post herpetic neuralgia', 'thrombophlebitis', 'opioid naive', 'infection', 'cns depression nos', 'urinary abnormalities', 'weight decreased', 'cough', 'dysphagia', 'hyperkinesia', 'influenza', 'amnesia', 'unspecified disorder of skin and subcutaneous tissue', 'neck pain', 'urinary tract infection', 'anxiety', 'inappropriate antidiuretic hormone secretion', 'tinnitus', 'somnolence', 'body temperature decreased', 'lacrimal structural disorder', 'lacrimation increased', 'hypoglycaemia', 'tremor', 'paraesthesia', 'unsteadiness', 'alcoholism', 'spasm biliary', 'gingivitis', 'eye disorder', 'flatulence', 'opioid abuse', 'acute pain', 'polyuria', 'arthritis', 'abdominal distension', 'respiratory disorder', 'vasodilation', 'libido decreased', 'decreased appetite', 'haemorrhage', 'epistaxis', 'intestinal obstruction', 'urinary tract disorder', 'respiratory arrest', 'mydriasis', 'chest pain', 'depersonalisation', 'lacrimation', 'herpes simplex', 'tension', 'fluid retention', 'hypertonia', 'nervous system disorder', 'pneumonia', 'cough increased', 'deep vein thrombosis', 'vomiting', 'increased appetite', 'urethral disorder', 'bedridden', 'shock', 'intracranial pressure increased', 'piloerection', 'electrocardiogram st segment depression', 'mediastinal disorder', 'euphoric mood', 'immune system disorder', 'hypothermia', 'dry skin', 'stomatitis', 'photosensitivity reaction', 'hyperhidrosis', 'oedema', 'early satiety', 'dysuria', 'pallor', 'urticaria', 'dependence physiological', 'lightheadedness', 'pulmonary function test decreased', 'hypotensive', 'asthma', 'gastritis', 'hepatic enzyme increased', 'anaemia', 'thirst', 'disorientation', 'pharyngitis', 'miosis', 'hyperaesthesia', 'dermatitis bullous', 'tooth discolouration', 'breast feeding', 'migraine', 'injury', 'cheyne-stokes respiration', 'feeling abnormal', 'yawning', 'brain cancer metastatic', 'discomfort', 'cutis anserina', 'syncope', 'cyanosis', 'accidental injury', 'muscle rigidity', 'amenorrhoea', 'hypercalcaemia', 'withdrawal symptom', 'tranquillisation excessive', 'stomach cramps', 'muscle contractions involuntary', 'connective tissue disorder', 'back pain', 'balance disorder', 'dependence psychological', 'drug tolerance', 'hallucination', 'lacrimal disorder', 'disturbance in sexual arousal', 'bronchitis', 'ureteral spasm', 'therapy naive', 'malaise', 'appetite absent', 'convulsion', 'generalised oedema', 'abdominal colic', 'diarrhoea', 'abdominal pain', 'drug abuse', 'gagging']",289
What mild moderate side effects does oxycodone cause?,severity_filtered,oxycodone,mild_moderate,"['ventricular tachycardia', 'bradycardia', 'supraventricular tachycardia', 'tachycardia']",4
List mild adverse events of oxycodone,severity_filtered,oxycodone,mild,"['dizziness', 'pruritus', 'headache', 'post procedural constipation', 'fatigue', 'constipation', 'rash', 'postoperative constipation', 'nausea', 'dry mouth', 'insomnia']",11
What fatal side effects does temozolomide cause?,severity_filtered,temozolomide,fatal,['fatal outcomes'],1
List life threatening adverse events of temozolomide,severity_filtered,temozolomide,life_threatening,"['anaphylactic shock', 'respiratory failure', 'stevens-johnson syndrome', 'toxic epidermal necrolysis']",4
List severe adverse events of temozolomide,severity_filtered,temozolomide,severe,['partial seizures'],1
List moderate severe adverse events of temozolomide,severity_filtered,temozolomide,moderate_severe,['hepatotoxicity'],1
