query,query_type,comparison_type,drug1,drug2,ground_truth
What side effects do miglitol and tapentadol have in common?,drug_comparison,common,miglitol,tapentadol,"['dermatitis', 'constipation', 'rash', 'gastrointestinal disorder', 'diarrhoea', 'nausea']"
Which side effects are unique to orlistat compared to cefotaxime?,drug_comparison,unique,orlistat,cefotaxime,"['upper respiratory tract infection', 'menopausal symptoms', 'abdominal pain upper', 'oedema peripheral', 'gastrointestinal symptom nos', 'depression', 'autoimmune disorder', 'breast disorder', 'nephropathy', 'eructation', 'biliary colic', 'musculoskeletal discomfort', 'gingival disorder', 'blood disorder', 'gastrointestinal disorder', 'dysgeusia', 'sweating increased', 'hair texture abnormal', 'urine output increased', 'diabetic', 'cardiovascular disorder', 'vision blurred', 'faeces hard', 'ear infection', 'fullness abdominal', 'mental disorder', 'vein disorder', 'fatigue', 'vertigo', 'faecal incontinence', 'hepatobiliary disease', 'infestation nos', 'reaction gastrointestinal', 'dry mouth', 'muscle spasms', 'tooth disorder', 'diabetes mellitus', 'xeroderma', 'sleep disorder', 'asthenia', 'palpitations', 'dyspepsia', 'cholecystitis', 'sinusitis', 'borborygmi', 'malnutrition', 'skin disorder', 'anorectal discomfort', 'diverticulum', 'enteritis', 'hypovitaminosis', 'dizziness', 'burning anal', 'blood and lymphatic system disorders', 'rash papular', 'epilepsy', 'myalgia', 'faeces discoloured', 'dysmenorrhoea', 'drug interaction', 'infestation', 'lower gastrointestinal haemorrhage', 'cramp muscle', 'acne', 'infection', 'anal pruritus', 'cough', 'anal irritation', 'insect bite nos', 'nail disorder', 'eczema', 'avitaminosis', 'influenza', 'unspecified disorder of skin and subcutaneous tissue', 'urinary tract infection', 'anxiety', 'hypoglycaemia', 'paraesthesia', 'soft stools', 'abdominal pain lower', 'flatulence', 'arthropathy', 'pancreatitis', 'epigastric pain not food-related', 'onychoclasis', 'polyuria', 'abdominal distension', 'arthritis', 'autonomic neuropathy', 'diverticulitis', 'neuropathy peripheral', 'decreased appetite', 'gastrointestinal sounds abnormal', 'abdominal discomfort', 'urinary tract disorder', 'lower respiratory tract infection', 'taste bitter', 'chest pain', 'fracture', 'menstruation irregular', 'alopecia', 'nervous system disorder', 'insomnia', 'hepatic failure', 'obesity', 'increased appetite', 'hypokalaemia', 'urethral disorder', 'menopausal disorder', 'dyschezia', 'mediastinal disorder', 'upset stomach', 'immune system disorder', 'dry skin', 'osteoarthritis', 'hyperhidrosis', 'oedema', 'dysentery', 'neoplasm', 'tendonitis', 'cramps of lower extremities', 'pruritus genital', 'asthma', 'gastritis', 'thirst', 'international normalised ratio increased', 'pharyngitis', 'rectal haemorrhage', 'otitis', 'proctalgia', 'haemorrhoids', 'arthropod bite', 'foot edema', 'amenorrhoea', 'cholelithiasis', 'hypothyroidism', 'local swelling', 'back pain', 'appetite absent', 'abdominal colic', 'unspecified disorder of autonomic nervous system', 'multiple fractures']"
Compare the side effect profiles of 5-aminolevulinic and deferoxamine,drug_comparison,comparison,5-aminolevulinic,deferoxamine,"{'common': ['vomiting', 'hypotension', 'infestation', 'aphasia', 'infestation nos', 'infection', 'body temperature increased', 'oedema', 'pruritus', 'urticaria', 'erythema', 'unspecified disorder of skin and subcutaneous tissue', 'thrombocytopenia', 'paraesthesia', 'nausea', 'scab', 'eye disorder', 'headache', 'gastrointestinal disorder', 'skin disorder', 'angiopathy', 'blood and lymphatic system disorders', 'pain', 'welts', 'induration', 'convulsion', 'diarrhoea', 'nervous system disorder'], 'unique_drug1': ['thromboembolism', 'blood amylase increased', 'alanine aminotransferase increased', 'respiratory insufficiency', 'acne', 'skin hypertrophy', 'hepatobiliary disease', 'seborrhoeic dermatitis', 'respiratory failure', 'glioma', 'photosensitivity reaction', 'dry skin', 'neoplasm', 'dermatitis', 'cardiac disorder', 'brain oedema', 'hemiparesis', 'pustule', 'embolism', 'anaemia', 'leukocytosis', 'blood bilirubin increased', 'warmth', 'stinging', 'hyperpathia', 'application site irritation', 'hyperaesthesia', 'accidental ingestion', 'hypoaesthesia', 'chills', 'leukoderma', 'accidental exposure to product', 'amylase increased', 'application site reaction', 'feeling hot', 'ulcer', 'skin cancer', 'tenderness', 'skin hyperpigmentation', 'discomfort', 'skin exfoliation', 'wound secretion', 'hemianopia', 'photosensitivity', 'gamma-glutamyltransferase increased', 'excoriation', 'sunburn', 'aspartate aminotransferase increased', 'photodamaged skin', 'brain neoplasm', 'nervousness', 'haemoglobin', 'dysaesthesia', 'haemorrhage', 'skin carcinoma', 'photodermatosis', 'petechiae', 'rash', 'hyperkeratosis', 'herpes simplex', 'tension', 'skin tightness', 'rash maculo-papular', 'rash pustular', 'embolism venous', 'mental disorder', 'eyelid oedema'], 'unique_drug2': ['hypersensitivity', 'optic neuritis', 'renal failure acute', 'injection site reaction', 'injection site pain', 'chromatopsia', 'musculoskeletal discomfort', 'swelling', 'blood disorder', 'angioedema', 'visual acuity reduced', 'dyspnoea', 'toxic encephalopathy', 'ear and labyrinth disorders', 'neuropathy', 'vision blurred', 'serum creatinine increased', 'gastrointestinal pain', 'retinal disorder', 'blood creatinine increased', 'visual disturbance', 'gastroenteritis yersinia', 'bone pain', 'retinal degeneration', 'cataract', 'rash generalised', 'muscle spasms', 'hepatic impairment', 'liver disorder', 'delusion', 'lenticular opacities', 'scotoma', 'arthralgia', 'eosinophilia', 'anaphylactoid reaction', 'chromaturia', 'local reaction', 'dizziness', 'acute respiratory distress syndrome', 'eschar', 'leukopenia', 'myalgia', 'arrhythmia', 'visual impairment', 'renal impairment', 'tinnitus', 'dialysis dementia', 'unspecified visual loss', 'paranoid delusions', 'hepatic function abnormal', 'grand mal convulsion', 'renal tubular disorder', 'tonic-clonic seizures', 'corneal opacity', 'immobile', 'tachycardia', 'neuropathy peripheral', 'mucormycosis', 'abdominal discomfort', 'blindness', 'urinary tract disorder', 'lung infiltration', 'urine color abnormal', 'transaminases increased', 'pyelonephritis', 'urethral disorder', 'shock', 'growth retardation', 'mediastinal disorder', 'immune system disorder', 'drug eruption', 'dysuria', 'cramps of lower extremities', 'respiratory distress', 'asthma', 'zygomycosis', 'night blindness', 'dyschromatopsia', 'bone disorder', 'anaphylactic shock', 'bradycardia', 'cyanosis', 'local swelling', 'deafness neurosensory', 'connective tissue disorder', 'hallucination', 'renal failure', 'abdominal pain', 'metaphyseal dysplasia']}"
Which side effects are unique to 5-asa compared to flucloxacillin?,drug_comparison,unique,5-asa,flucloxacillin,"['upper respiratory tract infection', 'administration site reaction', 'oedema peripheral', 'gastrointestinal symptom nos', 'kidney fibrosis', 'haematocrit decreased', 'renal failure acute', 'breast disorder', 'eructation', 'gastrointestinal haemorrhage', 'nephropathy', 'malabsorption', 'medication residue', 'pruritus', 'weight increased', 'pericardial effusion', 'metrorrhagia', 'lung fibrosis interstitial', 'hypocalcaemia', 'chills', 'duodenal ulcer', 'sweating', 'influenza like illness', 'adenovirus infection', 'hypertension', 'pharyngolaryngeal pain', 'bilirubin total increased', 'aspartate aminotransferase increased', 'nervousness', 'back distress', 'cholangitis sclerosing', 'lung disorder', 'pancytopenia', 'urine analysis abnormal', 'fatigue', 'vasodilation procedure', 'oesophageal ulcer', 'rhinorrhoea', 'faecal incontinence', 'infestation nos', 'thrombosis', 'dry mouth', 'cardiac disorder', 'liver disorder', 'lupus erythematosus', 'alveolitis', 'aplastic anaemia', 'palpitations', 'eye swelling', 'alopecia reversible', 'dermatitis atopic', 'pleurisy', 'skin discolouration', 'sinusitis', 'hepatotoxicity', 'mood swings', 'anorectal discomfort', 'ache', 'local reaction', 'nephropathy toxic', 'ear disorder', 'red blood cell sedimentation rate increased', 'prurigo', 'idiopathic pulmonary fibrosis', 'rhinitis', 'proctocolitis', 'liver injury', 'angina pectoris', 'pain', 'foetor hepaticus', 'sinus tachycardia', 'colitis ulcerative', 'rheumatoid arthritis', 'lactic dehydrogenase activity increased', 'defaecation urgency', 'renal impairment', 'infestation', 'cramp muscle', 'acne', 'tongue disorder', 'myocarditis', 'medication residue present', 'cough', 'nail disorder', 'dysphagia', 'eczema', 'haematochezia', 'rectal spasm', 'neck pain', 'anxiety', 'tinnitus', 'somnolence', 'lacrimal structural disorder', 'urine abnormality', 'paraesthesia', 'amylase increased', 'eye disorder', 'flatulence', 'rectal cramps', 'ear pain', 'arthropathy', 'pancreatitis', 'arthritis', 'abdominal distension', 'gamma-glutamyltransferase increased', 'vasodilation', 'neuropathy peripheral', 'haemorrhage', 'epistaxis', 'abdominal discomfort', 'hepatitis cholestatic', 'urine color abnormal', 'transaminases increased', 'menorrhagia', 'exacerbation of asthma', 'tension', 'albuminuria', 'hypertonia', 'insomnia', 'psoriasis', 'creatinine renal clearance decreased', 'alanine aminotransferase increased', 'lupus-like syndrome', 'dyschezia', 'mediastinal disorder', 'pancolitis', 'hyperhidrosis', 'oedema', 'tongue discolouration', 'parosmia', 'cramps of lower extremities', 'rectal polyp', 'mucous stools', 'thirst', 'disorientation', 'ear congestion', 'pleural effusion', 'rectal haemorrhage', 'condition aggravated', 'pulmonary eosinophilia', 'hyperaesthesia', 'proctalgia', 'vaginal infection', 'conjunctivitis', 'hepatic necrosis', 'vulvovaginal mycotic infection', 'syncope', 'amenorrhoea', 'back pain', 'rectal tenesmus', 'musculoskeletal pain', ""crohn's disease"", 'lacrimal disorder', 'disturbance in sexual arousal', 'bronchitis', 'alveolitis allergic', 'anal discomfort', 'rash pustular', 'nephrotoxicity', 'coma', 'hypomenorrhoea', 'infertility', 'abdominal pain upper', 'serum amylase increased', 'hypomagnesaemia', 'depression', 'systemic lupus erythematosus', 'dry eye', 'pyoderma', 'nephrotic syndrome', 'micturition burning', 'melaena', 'loss of consciousness', 'anorexia', 'micturition urgency', 'blood disorder', 'amblyopia', 'acute interstitial pneumonitis', 'cholestasis', 'blood urea increased', 'abdominal bloating', 'proteinuria', 'pericarditis constrictive', 'rash erythematous', 'dyspnoea', 'enlargement abdomen', 'skin exfoliation', 'eosinophilic pneumonia', 'hepatitis toxic', 'photosensitivity', 'ear and labyrinth disorders', 'blood creatinine abnormal', 'neuropathy', 'hepatocellular injury', 'lichenoid keratosis', 'liver function test abnormal', 'vision blurred', 'blood creatinine increased', 'diarrhoea haemorrhagic', 'mental disorder', 'epididymitis', 'affect lability', 'face oedema', 'vertigo', 'eating disorder', 'rash generalised', 'tongue oedema', 'chronic interstitial nephritis', 'lipase increased', 'muscle spasms', 'confusional state', 'lipoid nephrosis', 'hepatic impairment', 'nasopharyngitis', 'lethargy', 'rectal disorder', 'delirium', 'sperm count decreased', 'musculoskeletal stiffness', 'erythema', 'blood methaemoglobin present', 'pleuropericarditis', 'scotoma', 'lymphadenopathy', 'asthenia', 'mouth ulceration', 'myelitis', 'feeling hot', 'pericarditis', 'pollakiuria', 'abnormal dreams', 'cholecystitis', 'thrombocytosis', 'blister', 'orthostatic hypotension', 'crohns disease aggravated', 'chromaturia', 'angiopathy', 'haemoglobin', 'cystitis', 'lichen planus', 'vulvovaginal candidiasis', 'gout', 'myelitis transverse', 'faeces discoloured', 'renal failure chronic', 'abdominal cramps', ""reye's syndrome"", 'hypotension', 'dysmenorrhoea', 'bladder pain', 'infection', 'peptic ulcer perforation', 'weight decreased', 'anal pruritus', 'drug fever', 'frequent bowel movements', 'skin necrosis', 'influenza', 'urinary tract infection', 'micturition disorder', 'dermatitis infected', 'leukocytosis', 'breast pain', 'tremor', 'drug ineffective', 'interstitial lung disease', 'abdominal pain lower', 'oligospermia', 'obliterative bronchiolitis', 'tenderness', 'tachycardia', 'sperm concentration decreased', 'prostatic disorder', 'hirsutism', 'libido decreased', 'stiffness', 'intestinal obstruction', 'hamman-rich syndrome', 'lung infiltration', 'platelet count decreased', 'discomfort rectal', 'chest pain', 'blood lactate dehydrogenase increased', 'ecchymosis', 'alopecia', 'eye pain', 'protein urine present', 'pneumonia', 'cough increased', 'blood alkaline phosphatase increased', 'hepatic failure', 'guillain-barre syndrome', 'increased appetite', 'shock', 'cystitis noninfective', 'vaginal moniliasis', 'upset stomach', 'photosensitivity reaction', 'dry skin', 'anorectal disorder', 'stomatitis', 'osteoarthritis', 'phosphatase alkaline increased', 'dysuria', 'bone marrow depression', 'pruritus genital', 'deafness', 'steatorrhoea', 'laryngeal pain', 'asthma', 'gastritis', 'hepatic enzyme increased', 'blood bilirubin increased', 'pharyngitis', 'cardiac flutter', 'body mass index decreased', 'dermatitis bullous', 'breast feeding', 'rectal discharge', 'acute febrile neutrophilic dermatosis', 'bone disorder', 'migraine', 'glomerulonephritis minimal lesion', 'haemorrhoids', 'pneumonia aspiration', 'vaginal inflammation', 'burning sensation', 'interstitial pneumonia', 'allergic exanthema', 'cholelithiasis', 'pyoderma gangrenosum', 'pancreatitis acute', 'gastroenteritis', 'azoospermia', 'atrial fibrillation']"
What side effects do iopromide and benzyl have in common?,drug_comparison,common,iopromide,benzyl,"['dermatitis', 'pruritus', 'erythema', 'rash', 'pain', 'paraesthesia', 'hypoaesthesia', 'oedema']"
Compare the side effect profiles of nandrolone and moclobemide,drug_comparison,comparison,nandrolone,moclobemide,"{'common': ['vomiting', 'oligomenorrhoea', 'dermatitis', 'urticaria', 'pruritus', 'rash', 'hypertension', 'diarrhoea', 'irritability', 'nausea', 'insomnia'], 'unique_drug1': ['epididymitis', 'drug interaction', 'dysphonia', 'hyperlipidaemia', 'erectile dysfunction', 'intentional misuse', 'acne', 'mediastinal disorder', 'haemoglobin increased', 'hypertrophy', 'seborrhoeic dermatitis', 'intentional drug misuse', 'neoplasm', 'oedema', 'enlarged clitoris', 'sperm count decreased', 'priapism', 'benign prostatic hyperplasia', 'furunculosis', 'jaundice', 'glucose tolerance decreased', 'hepatic function abnormal', 'virilism', 'oligospermia', 'water retention', 'precocious puberty', 'gynaecomastia', 'oily hair', 'amenorrhoea', 'sperm concentration decreased', 'local reaction', 'furuncle', 'hirsutism', 'libido decreased', 'oily skin', 'haemorrhage', 'haemoglobin', 'testicular atrophy', 'peliosis hepatis', 'menstruation irregular', 'hoarseness', 'disturbance in sexual arousal', 'azoospermia', 'alopecia', 'fluid retention', 'epiphyses premature fusion'], 'unique_drug2': ['menopausal symptoms', 'musculoskeletal discomfort', 'loss of consciousness', 'metrorrhagia', 'abdominal bloating', 'dyspnoea', 'sweating', 'dysgeusia', 'extrasystoles', 'nervousness', 'urine output increased', 'ill-defined disorder', 'sleep disturbance', 'vision blurred', 'gastrointestinal pain', 'flushing', 'visual disturbance', 'fullness abdominal', 'fatigue', 'aggression', 'drowsiness', 'dry mouth', 'confusional state', 'delusion', 'agitation', 'sleep disorder', 'asthenia', 'anxiety state', 'palpitations', 'dyspepsia', 'dermatitis atopic', 'anorectal discomfort', 'dizziness', 'angina pectoris', 'sickness', 'myalgia', 'visual impairment', 'hypotension', 'apathy', 'dysarthria', 'epigastric discomfort', 'allergic skin reaction', 'anxiety', 'tinnitus', 'photopsia', 'somnolence', 'tremor', 'paraesthesia', 'gingivitis', 'flatulence', 'headache', 'tachycardia', 'polyuria', 'abdominal distension', 'increased agitation', 'decreased appetite', 'chest pain', 'feeling cold', 'heartburn', 'tension', 'taste altered', 'menstrual cycle prolonged', 'shock', 'constipation', 'dry skin', 'stomatitis', 'osteoarthritis', 'hyperhidrosis', 'dysuria', 'hepatic enzyme increased', 'gastritis', 'disorientation', 'proctalgia', 'conjunctivitis', 'migraine', 'feeling abnormal', 'discomfort', 'bradycardia', 'hot flush', 'syncope', 'flat affect', 'rectal tenesmus', 'hallucination', 'nightmare', 'malaise', 'appetite absent', 'abdominal pain']}"
What side effects do midazolam and thioridazine have in common?,drug_comparison,common,midazolam,thioridazine,"['hypersensitivity', 'vomiting', 'hypotension', 'cardiac arrest', 'constipation', 'psychotic disorder', 'drowsiness', 'lethargy', 'confusional state', 'dermatitis', 'hyperkinesia', 'agitation', 'erythema', 'somnolence', 'miosis', 'tremor', 'nausea', 'excitement', 'headache', 'feeling abnormal', 'tachycardia', 'ventricular tachycardia', 'vision blurred', 'rash', 'mental disorder']"
Compare the side effect profiles of naratriptan and bezafibrate,drug_comparison,comparison,naratriptan,bezafibrate,"{'common': ['hypersensitivity', 'cramp muscle', 'constipation', 'infection', 'photosensitivity reaction', 'muscle spasms', 'dermatitis', 'pruritus', 'urticaria', 'erythema', 'musculoskeletal discomfort', 'thrombocytopenia', 'gastritis', 'anaemia', 'nausea', 'myocardial infarction', 'headache', 'migraine', 'purpura', 'acute coronary syndrome', 'photosensitivity', 'dizziness', 'liver function test abnormal', 'rash', 'bronchitis', 'vascular purpura', 'pain', 'alopecia', 'myalgia', 'diarrhoea'], 'unique_drug1': ['diuresis', 'cerebral infarction', 'rheumatic disorder', 'folliculitis', 'depression', 'transient ischaemic attack', 'dry eye', 'gastric ulcer', 'tingling sensation', 'loss of consciousness', 'swelling', 'phonophobia', 'micturition urgency', 'blood disorder', 'stinging', 'altered state of consciousness', 'serotonin syndrome', 'glycosuria', 'hypoaesthesia', 'chills', 'salivary gland enlargement', 'dysthymic disorder', 'dyspnoea', 'sweating', 'dehydration', 'vasospasm', 'panic reaction', 'gastrointestinal disorder', 'muscle stiffness', 'sialoadenitis', 'oesophagitis', 'urine output increased', 'muscle twitching', 'ill-defined disorder', 'vision blurred', 'detachment psychological', 'ketonuria', 'electrocardiogram pr prolongation', 'dysequilibrium', 'bone pain', 'salivary gland swelling', 'tracheitis', 'atrial flutter', 'fatigue', 'gastrointestinal discomfort', 'vertigo', 'coordination abnormal', 'aggression', 'aphasia', 'drowsiness', 'body temperature increased', 'regurgitation', 'dry mouth', 'oral pruritus', 'confusional state', 'cardiac disorder', 'agitation', 'musculoskeletal stiffness', 'sleep disorder', 'scotoma', 'asthenia', 'palpitations', 'arthralgia', 'fasciculation', 'sensation of pressure', 'feeling hot', 'psychomotor retardation', 'pollakiuria', 'dermatitis atopic', 'pleurisy', 'neuralgia', 'sinusitis', 'hyperglycaemia', 'skin disorder', 'anaphylactoid reaction', 'angiopathy', 'haemoglobin', 'sensation of heat', 'depressed level of consciousness', 'cystitis', 'bilirubin abnormal', 'arteriospasm coronary', 'eye haemorrhage', 'angina pectoris', 'electrocardiogram qt prolonged', 'blood pressure increased', 'mastitis', 'arrhythmia', 'hypotension', 'bladder pain', 'photophobia', 'cough', 'cognitive disorder', 'hostility', 'hyperkinesia', 'medication overuse headache', 'depressive disorder', 'cutaneous hypersensitivity', 'anxiety', 'tinnitus', 'somnolence', 'tremor', 'paraesthesia', 'numbness', 'ulcer', 'breast discharge', 'polyuria', 'ischaemia', 'neuropathy peripheral', 'electrocardiogram qt corrected interval prolonged', 'libido decreased', 'haemorrhage', 'pyelitis', 'abdominal discomfort', 'pyelonephritis', 'mass', 'colitis ischaemic', 'neuritis', 'eye pain', 'fluid retention', 'nervous system disorder', 'pneumonia', 'prinzmetal angina', 'rhinitis allergic', 'vomiting', 'dissociation', 'myocardial ischaemia', 'hyperlipidaemia', 'shock', 'pain in jaw', 'cerebrovascular accident', 'cystitis noninfective', 'immune system disorder', 'dry skin', 'hyperhidrosis', 'oedema', 'asthma', 'electrocardiogram abnormal', 'dyspeptic signs and symptoms', 'thirst', 'hypercholesterolaemia', 'hyperaesthesia', 'vaginal infection', 'parathyroid tumour', 'haemorrhage urinary tract', 'haemorrhoids', 'urinary incontinence', 'vaginal inflammation', 'anaphylactic shock', 'feeling abnormal', 'paralysis', 'discomfort', 'bradycardia', 'cardiac murmur', 'burning sensation', 'subarachnoid haemorrhage', 'syncope', 'muscle rigidity', 'hypothyroidism', 'inflammation', 'ventricular tachycardia', 'muscle contractions involuntary', 'labyrinthitis', 'tachyarrhythmia', 'sensory loss', 'ventricular fibrillation', 'balance disorder', 'gastroenteritis', 'feeling strange', 'hallucination', 'disturbance in sexual arousal', 'polydipsia', 'malaise', 'convulsion', 'atrial fibrillation', 'ventricular extrasystoles', 'blood bilirubin abnormal', 'rheumatism'], 'unique_drug2': ['urethral disorder', 'erectile dysfunction', 'alanine aminotransferase increased', 'renal failure acute', 'erythema multiforme', 'phosphatase alkaline increased', 'eczema', 'creatine phosphokinase increased', 'influenza', 'myositis', 'rhabdomyolysis', 'pharyngitis', 'cholestasis', 'epigastric distress', 'dyspepsia', 'flatulence', 'stevens-johnson syndrome', 'pancytopenia', 'blood creatine phosphokinase increased', 'cholelithiasis', 'aspartate aminotransferase increased', 'muscular weakness', 'urinary tract disorder', 'transaminases increased', 'tenosynovitis', 'gastrointestinal pain', 'serum creatinine increased', 'blood creatinine increased', 'toxic epidermal necrolysis', 'abdominal pain', 'blood alkaline phosphatase increased', 'insomnia']}"
What side effects do fondaparinux and tesamorelin have in common?,drug_comparison,common,fondaparinux,tesamorelin,"['vomiting', 'menopausal symptoms', 'oedema peripheral', 'dermatitis', 'pruritus', 'unspecified disorder of skin and subcutaneous tissue', 'nausea', 'dyspepsia', 'pain in extremity', 'hot flush', 'gastrointestinal disorder', 'skin disorder', 'angiopathy', 'haemorrhage', 'haemoglobin', 'injection site haemorrhage', 'chest pain', 'rash', 'pain', 'nervous system disorder', 'insomnia']"
Compare the side effect profiles of dabrafenib and diethylenetriaminepentaacetic,drug_comparison,comparison,dabrafenib,diethylenetriaminepentaacetic,"{'common': ['dermatitis', 'hypersensitivity', 'dizziness', 'headache', 'diarrhoea', 'cough', 'nausea'], 'unique_drug1': ['neutropenia', 'abdominal pain upper', 'folliculitis', 'oedema peripheral', 'panniculitis', 'hypomagnesaemia', 'hypoalbuminaemia', 'renal failure acute', 'nephropathy', 'cyst', 'pruritus', 'disease progression', 'musculoskeletal discomfort', 'actinic keratosis', 'hypocalcaemia', 'chills', 'rash erythematous', 'influenza like illness', 'dehydration', 'nephritis', 'hypertension', 'gastrointestinal disorder', 'hyponatraemia', 'vaginal haemorrhage', 'aspartate aminotransferase increased', 'nephritis interstitial', 'lymphopenia', 'vision blurred', 'gastrointestinal pain', 'blood creatinine increased', 'rash vesicular', 'embolism venous', 'mental disorder', 'squamous cell carcinoma', 'rigors', 'ejection fraction decreased', 'fatigue', 'cerebral haemorrhage', 'infestation nos', 'body temperature increased', 'tubulointerstitial nephritis', 'rash generalised', 'keratoacanthoma', 'dry mouth', 'muscle spasms', 'vitreous haemorrhage', 'nasopharyngitis', 'acute renal insufficiency', 'erythema', 'gingival bleeding', 'thrombocytopenia', 'asthenia', 'dermatitis acneiform', 'hypophosphataemia', 'night sweats', 'azotaemia', 'arthralgia', 'skin toxicity', 'squamous cell carcinoma of skin', 'cardiomyopathy', 'creatinine increased', 'hyperglycaemia', 'malnutrition', 'basal cell carcinoma', 'seborrhoeic keratosis', 'skin disorder', 'uveitis', 'cellulitis', 'angiopathy', 'haemoglobin', 'haematuria', 'prurigo', 'leukopenia', 'rash papular', 'acrochordon', 'eye haemorrhage', 'electrocardiogram qt prolonged', 'reaction febrile', 'myalgia', 'lymphoedema', 'arrhythmia', 'hypotension', 'infestation', 'paronychia', 'infection', 'papilloma', 'ocular toxicity', 'unspecified disorder of skin and subcutaneous tissue', 'urinary tract infection', 'gastric haemorrhage', 'blindness transient', 'polyp', ""bowen's disease"", 'abdominal pain lower', 'eye disorder', 'skin lesion', 'venous thromboembolism', 'pancreatitis', 'pain in extremity', 'rash macular', 'hyperbilirubinaemia', 'brain stem haemorrhage', 'hyperkalaemia', 'gamma-glutamyltransferase increased', 'electrocardiogram qt corrected interval prolonged', 'haemorrhage', 'decreased appetite', 'epistaxis', 'abdominal discomfort', 'urinary tract disorder', 'refractory hypertension', 'rash pustular', 'alopecia', 'neoplasm malignant', 'nervous system disorder', 'haemorrhage intracranial', 'blood alkaline phosphatase increased', 'insomnia', 'oropharyngeal pain', 'vomiting', 'hypokalaemia', 'urethral disorder', 'alanine aminotransferase increased', 'constipation', 'mediastinal disorder', 'immune system disorder', 'dry skin', 'stomatitis', 'hyperhidrosis', 'oedema', 'neoplasm', 'phosphatase alkaline increased', 'anaemia', 'dermatitis bullous', 'bone disorder', 'rash bullous', 'hypercalcaemia', 'connective tissue disorder', 'back pain', 'malignant melanoma', 'skin papilloma', 'rash', 'hyperkeratosis', 'rash maculo-papular', 'cardiac failure congestive', 'renal failure', 'abdominal pain'], 'unique_drug2': ['injection site reaction', 'lightheadedness', 'chest pain', 'dysgeusia', 'wheezing', 'pelvic pain', 'taste metallic']}"
