query,query_type,drug,organ_filter,ground_truth,num_results
List anthracycline's effects on the hematological system,organ_specific,anthracycline,hematological,"['febrile neutropenia', 'gingival bleeding', 'thrombocytopenia', 'leukopenia', 'neutropenia', 'pancytopenia']",6
Find all hepatobiliary adverse events from anthracycline,organ_specific,anthracycline,hepatobiliary,"['hepatic impairment', 'hepatomegaly', 'liver disorder', 'hepatic function abnormal']",4
List anthracycline's effects on the immunological system,organ_specific,anthracycline,immunological,"['hypersensitivity', 'anaphylactic shock', 'anaphylactoid reaction']",3
What renal side effects does anthracycline cause?,organ_specific,anthracycline,renal,"['renal impairment', 'renal failure']",2
List mirabegron's effects on the gastrointestinal system,organ_specific,mirabegron,gastrointestinal,"['dyspepsia', 'nausea', 'gastritis', 'constipation', 'gastrointestinal pain', 'gastrointestinal disorder', 'abdominal distension', 'abdominal pain']",8
Find all musculoskeletal adverse events from mirabegron,organ_specific,mirabegron,musculoskeletal,"['joint swelling', 'arthralgia']",2
Find all renal adverse events from mirabegron,organ_specific,mirabegron,renal,"['urinary tract disorder', 'cystitis', 'urinary retention', 'urinary tract infection', 'cystitis noninfective', 'nephrolithiasis']",6
Show neurological toxicity of mirabegron,organ_specific,mirabegron,neurological,"['dizziness', 'headache']",2
Show dermatological toxicity of mirabegron,organ_specific,mirabegron,dermatological,"['dermatitis', 'pruritus', 'urticaria', 'unspecified disorder of skin and subcutaneous tissue', 'rash papular', 'rash', 'rash macular', 'vulvovaginal pruritus', 'skin disorder']",9
What ocular side effects does mirabegron cause?,organ_specific,mirabegron,ocular,"['glaucoma', 'vision blurred']",2
Show cardiovascular toxicity of mirabegron,organ_specific,mirabegron,cardiovascular,"['hypertension', 'cardiac disorder', 'palpitations', 'tachycardia']",4
What are the respiratory risks of taking mirabegron?,organ_specific,mirabegron,respiratory,['upper respiratory tract infection'],1
What immunological side effects does mirabegron cause?,organ_specific,mirabegron,immunological,['leukocytoclastic vasculitis'],1
List naftifine's effects on the dermatological system,organ_specific,naftifine,dermatological,"['dermatitis', 'pruritus', 'rash', 'skin tenderness', 'pain of skin', 'dermatitis bullous']",6
Find all neurological adverse events from naftifine,organ_specific,naftifine,neurological,"['dizziness', 'headache']",2
Find all hematological adverse events from naftifine,organ_specific,naftifine,hematological,['leukopenia'],1
Find all immunological adverse events from methyclothiazide,organ_specific,methyclothiazide,immunological,"['hypersensitivity', 'anaphylactic shock', 'cutaneous vasculitis', 'vasculitis necrotising', 'vasculitis']",5
What gastrointestinal side effects does methyclothiazide cause?,organ_specific,methyclothiazide,gastrointestinal,"['vomiting', 'gastric irritation', 'constipation', 'nausea', 'epigastric discomfort']",5
Show neurological toxicity of methyclothiazide,organ_specific,methyclothiazide,neurological,"['dizziness', 'headache', 'vertigo']",3
What dermatological side effects does methyclothiazide cause?,organ_specific,methyclothiazide,dermatological,"['dermatitis', 'urticaria', 'rash', 'photosensitivity reaction', 'photosensitivity']",5
What cardiovascular side effects does methyclothiazide cause?,organ_specific,methyclothiazide,cardiovascular,['orthostatic hypotension'],1
What hepatobiliary side effects does methyclothiazide cause?,organ_specific,methyclothiazide,hepatobiliary,['jaundice'],1
What are the hematological risks of taking methyclothiazide?,organ_specific,methyclothiazide,hematological,"['thrombocytopenia', 'leukopenia']",2
What are the musculoskeletal risks of taking methyclothiazide?,organ_specific,methyclothiazide,musculoskeletal,"['cramp muscle', 'muscle spasms']",2
What are the respiratory risks of taking methyclothiazide?,organ_specific,methyclothiazide,respiratory,"['pneumonia', 'pulmonary oedema', 'respiratory distress']",3
List methyclothiazide's effects on the psychiatric system,organ_specific,methyclothiazide,psychiatric,['agitation'],1
What ocular side effects does methyclothiazide cause?,organ_specific,methyclothiazide,ocular,['vision blurred'],1
Find all gastrointestinal adverse events from liraglutide,organ_specific,liraglutide,gastrointestinal,"['vomiting', 'dyspepsia', 'intestinal obstruction', 'nausea', 'abdominal discomfort', 'abdominal pain upper', 'gastritis', 'constipation', 'gastrointestinal pain', 'gastrointestinal disorder', 'abdominal distension', 'abdominal pain']",12
List liraglutide's effects on the immunological system,organ_specific,liraglutide,immunological,"['hypersensitivity', 'anaphylactic shock']",2
Show neurological toxicity of liraglutide,organ_specific,liraglutide,neurological,"['dizziness', 'headache']",2
List liraglutide's effects on the dermatological system,organ_specific,liraglutide,dermatological,"['dermatitis', 'pruritus', 'urticaria', 'rash', 'injection site dermatitis']",5
Find all cardiovascular adverse events from liraglutide,organ_specific,liraglutide,cardiovascular,"['cardiac disorder', 'hypotension', 'palpitations', 'tachycardia']",4
What are the renal risks of taking liraglutide?,organ_specific,liraglutide,renal,"['urinary tract disorder', 'renal impairment', 'serum creatinine increased', 'blood creatinine increased', 'renal failure acute', 'renal failure', 'renal failure chronic']",7
What respiratory side effects does liraglutide cause?,organ_specific,liraglutide,respiratory,['upper respiratory tract infection'],1
What are the endocrine risks of taking liraglutide?,organ_specific,liraglutide,endocrine,['papillary thyroid cancer'],1
Find all ocular adverse events from unoprostone,organ_specific,unoprostone,ocular,"['cataract', 'abnormal vision', 'diplopia', 'optic atrophy', 'colour blindness', 'conjunctivitis']",6
Show endocrine toxicity of unoprostone,organ_specific,unoprostone,endocrine,['diabetes mellitus'],1
What neurological side effects does unoprostone cause?,organ_specific,unoprostone,neurological,"['dizziness', 'headache']",2
Find all immunological adverse events from unoprostone,organ_specific,unoprostone,immunological,['hypersensitivity'],1
What are the cardiovascular risks of taking unoprostone?,organ_specific,unoprostone,cardiovascular,"['hypertension', 'palpitations']",2
What are the gastrointestinal risks of taking unoprostone?,organ_specific,unoprostone,gastrointestinal,"['vomiting', 'nausea']",2
Show dermatological toxicity of unoprostone,organ_specific,unoprostone,dermatological,"['skin hyperpigmentation', 'pruritus']",2
Find all respiratory adverse events from unoprostone,organ_specific,unoprostone,respiratory,"['cough', 'cough increased']",2
What psychiatric side effects does unoprostone cause?,organ_specific,unoprostone,psychiatric,['insomnia'],1
Show immunological toxicity of brolene,organ_specific,brolene,immunological,['hypersensitivity'],1
What dermatological side effects does brolene cause?,organ_specific,brolene,dermatological,['skin sensitisation'],1
List amphetamine's effects on the gastrointestinal system,organ_specific,amphetamine,gastrointestinal,"['vomiting', 'dyspepsia', 'nausea', 'abdominal cramps', 'abdominal pain upper', 'constipation', 'gastrointestinal pain', 'gastrointestinal disorder', 'colitis ischaemic', 'abdominal pain']",10
What are the immunological risks of taking amphetamine?,organ_specific,amphetamine,immunological,"['hypersensitivity', 'anaphylactic shock', 'vasculitis cerebral']",3
What psychiatric side effects does amphetamine cause?,organ_specific,amphetamine,psychiatric,"['delirium', 'agitation', 'anxiety', 'hallucination', 'depression', 'insomnia', 'confusional state']",7
List amphetamine's effects on the neurological system,organ_specific,amphetamine,neurological,"['dizziness', 'ataxia', 'headache', 'tremor']",4
List amphetamine's effects on the dermatological system,organ_specific,amphetamine,dermatological,"['dermatitis', 'urticaria', 'unspecified disorder of skin and subcutaneous tissue', 'rash', 'allergic urticaria', 'dyskinesia', 'skin disorder', 'alopecia', 'photosensitivity reaction']",9
List amphetamine's effects on the cardiovascular system,organ_specific,amphetamine,cardiovascular,"['cardiac disorder', 'hypotension', 'cardiac death', 'tachycardia', 'hypertension', 'angina pectoris', 'palpitations', 'arrhythmia', 'myocardial infarction']",9
Show renal toxicity of amphetamine,organ_specific,amphetamine,renal,"['urinary tract infection', 'urinary tract disorder']",2
Find all musculoskeletal adverse events from amphetamine,organ_specific,amphetamine,musculoskeletal,"['rhabdomyolysis', 'muscle twitching']",2
Find all gastrointestinal adverse events from teduglutide,organ_specific,teduglutide,gastrointestinal,"['vomiting', 'nausea', 'intestinal obstruction', 'gastrointestinal pain', 'gastrointestinal disorder', 'abdominal pain', 'gastrointestinal stoma complication']",7
What psychiatric side effects does teduglutide cause?,organ_specific,teduglutide,psychiatric,['anxiety'],1
What musculoskeletal side effects does teduglutide cause?,organ_specific,teduglutide,musculoskeletal,['arthralgia'],1
Show renal toxicity of teduglutide,organ_specific,teduglutide,renal,"['renal colic', 'urinary tract disorder', 'cholecystitis']",3
List teduglutide's effects on the hepatobiliary system,organ_specific,teduglutide,hepatobiliary,"['cholestasis', 'hepatobiliary disease']",2
Show respiratory toxicity of teduglutide,organ_specific,teduglutide,respiratory,"['cough', 'respiratory tract infection']",2
What are the dermatological risks of taking teduglutide?,organ_specific,teduglutide,dermatological,"['unspecified disorder of skin and subcutaneous tissue', 'skin disorder', 'dermatitis atopic']",3
Find all neurological adverse events from teduglutide,organ_specific,teduglutide,neurological,"['dizziness', 'headache']",2
What are the cardiovascular risks of taking teduglutide?,organ_specific,teduglutide,cardiovascular,"['cardiac disorder', 'cardiac failure congestive']",2
Show gastrointestinal toxicity of ziprasidone,organ_specific,ziprasidone,gastrointestinal,"['vomiting', 'dyspepsia', 'nausea', 'abdominal discomfort', 'gastrointestinal discomfort', 'gastritis', 'constipation', 'gastrointestinal pain', 'gastrointestinal disorder', 'abdominal pain']",10
What respiratory side effects does ziprasidone cause?,organ_specific,ziprasidone,respiratory,"['upper respiratory tract infection', 'cough increased', 'respiratory tract infection', 'pneumonia aspiration', 'respiratory alkalosis', 'cough', 'pneumonia']",7
Find all dermatological adverse events from ziprasidone,organ_specific,ziprasidone,dermatological,"['vesiculobullous rash', 'eye pruritus', 'photosensitivity reaction', 'dermatitis', 'eczema', 'urticaria', 'unspecified disorder of skin and subcutaneous tissue', 'dyskinesia', 'dermatitis bullous', 'skin irritation', 'dermatitis atopic', 'skin disorder', 'tardive dyskinesia', 'fungal skin infection', 'dermatitis exfoliative', 'rash papular', 'rash', 'dermatitis contact', 'alopecia', 'rash maculo-papular', 'rash pustular', 'psoriasis']",22
What are the cardiovascular risks of taking ziprasidone?,organ_specific,ziprasidone,cardiovascular,"['heart rate irregular', 'cardiac disorder', 'hypotension', 'pulmonary embolism', 'embolism venous', 'tachycardia', 'angina pectoris', 'hypertension', 'orthostatic hypotension', 'bradycardia', 'palpitations', 'venous thromboembolism', 'arrhythmia']",13
Show psychiatric toxicity of ziprasidone,organ_specific,ziprasidone,psychiatric,"['delirium', 'agitation', 'anxiety', 'mania', 'hypomania', 'insomnia', 'confusional state']",7
What musculoskeletal side effects does ziprasidone cause?,organ_specific,ziprasidone,musculoskeletal,"['muscle twitching', 'muscle spasms', 'rhabdomyolysis', 'cramp muscle', 'myalgia', 'muscle rigidity', 'joint stiffness', 'muscle relaxant therapy', 'arthralgia']",9
List ziprasidone's effects on the neurological system,organ_specific,ziprasidone,neurological,"['parkinsonism', 'dizziness', 'ataxia', 'headache', 'vertigo positional', 'paralysis', 'tonic-clonic seizures', 'vertigo', 'dizziness postural', 'viith nerve paralysis', 'tremor', 'neuropathy peripheral', 'neuropathy']",13
What are the ocular risks of taking ziprasidone?,organ_specific,ziprasidone,ocular,"['keratoconjunctivitis', 'cataract', 'vision blurred', 'abnormal vision', 'diplopia', 'conjunctivitis']",6
What hematological side effects does ziprasidone cause?,organ_specific,ziprasidone,hematological,"['thrombocytopenia', 'gingival bleeding', 'leukopenia']",3
List ziprasidone's effects on the hepatobiliary system,organ_specific,ziprasidone,hepatobiliary,"['liver fatty deposition', 'hepatic impairment', 'hepatitis', 'liver disorder', 'hepatomegaly', 'jaundice cholestatic', 'hepatic steatosis', 'liver function test abnormal', 'hepatic enzyme increased', 'jaundice']",10
What are the immunological risks of taking ziprasidone?,organ_specific,ziprasidone,immunological,['hypersensitivity'],1
List ziprasidone's effects on the endocrine system,organ_specific,ziprasidone,endocrine,"['diabetes mellitus', 'thyroiditis', 'hypothyroidism', 'glucose tolerance decreased', 'hyperthyroidism']",5
List ziprasidone's effects on the renal system,organ_specific,ziprasidone,renal,"['urinary tract disorder', 'urinary retention', 'urinary incontinence', 'renal impairment', 'creatinine increased', 'blood creatinine increased', 'renal failure acute', 'oliguria', 'renal failure']",9
List ziprasidone's effects on the otic system,organ_specific,ziprasidone,otic,['tinnitus'],1
Show gastrointestinal toxicity of vitamin,organ_specific,vitamin,gastrointestinal,"['nausea', 'constipation']",2
Find all cardiovascular adverse events from vitamin,organ_specific,vitamin,cardiovascular,"['hypertension', 'hypotension']",2
What are the renal risks of taking vitamin?,organ_specific,vitamin,renal,"['irreversible renal failure', 'renal failure chronic', 'nephrocalcinosis']",3
What are the musculoskeletal risks of taking vitamin?,organ_specific,vitamin,musculoskeletal,['osteoporosis'],1
List vitamin's effects on the neurological system,organ_specific,vitamin,neurological,['dizziness'],1
What are the immunological risks of taking vitamin?,organ_specific,vitamin,immunological,"['hypersensitivity', 'anaphylactic shock', 'anaphylactoid reaction']",3
Show gastrointestinal toxicity of icodextrin,organ_specific,icodextrin,gastrointestinal,"['vomiting', 'dyspepsia', 'intestinal obstruction', 'nausea', 'abdominal discomfort', 'gastritis', 'constipation', 'gastrointestinal pain', 'gastrointestinal disorder', 'abdominal distension', 'abdominal pain', 'gastric ulcer']",12
What psychiatric side effects does icodextrin cause?,organ_specific,icodextrin,psychiatric,"['agitation', 'anxiety', 'confusional state']",3
Show musculoskeletal toxicity of icodextrin,organ_specific,icodextrin,musculoskeletal,"['cramp muscle', 'myalgia', 'bone pain', 'muscle spasms', 'arthralgia']",5
Find all dermatological adverse events from icodextrin,organ_specific,icodextrin,dermatological,"['skin ulcer', 'exfoliative rash', 'dry skin', 'dermatitis', 'eczema', 'pruritus', 'urticaria', 'chapped skin', 'dermatitis bullous', 'skin discolouration', 'generalized urticaria', 'skin exfoliation', 'skin disorder', 'skin fissures', 'dermatitis exfoliative', 'rash', 'toxic skin eruption', 'rash maculo-papular', 'psoriasis']",19
What are the respiratory risks of taking icodextrin?,organ_specific,icodextrin,respiratory,"['upper respiratory tract infection', 'bronchospasm', 'cough', 'pulmonary oedema']",4
What are the endocrine risks of taking icodextrin?,organ_specific,icodextrin,endocrine,"['parathyroid disorder', 'diabetes mellitus']",2
What are the neurological risks of taking icodextrin?,organ_specific,icodextrin,neurological,"['dizziness', 'headache']",2
Show cardiovascular toxicity of icodextrin,organ_specific,icodextrin,cardiovascular,"['hypotension', 'tachycardia', 'hypertension', 'orthostatic hypotension', 'cardiac failure']",5
Show immunological toxicity of icodextrin,organ_specific,icodextrin,immunological,"['hypersensitivity', 'vasculitis']",2
Find all hematological adverse events from icodextrin,organ_specific,icodextrin,hematological,"['thrombocytopenia', 'leukopenia']",2
List icodextrin's effects on the renal system,organ_specific,icodextrin,renal,"['oliguria', 'hypertensive nephropathy', 'renal pain']",3
Show otic toxicity of icodextrin,organ_specific,icodextrin,otic,['tinnitus'],1
What are the ocular risks of taking icodextrin?,organ_specific,icodextrin,ocular,['vision blurred'],1
What are the hepatobiliary risks of taking icodextrin?,organ_specific,icodextrin,hepatobiliary,"['liver function test abnormal', 'raised liver function tests']",2
Find all immunological adverse events from benzylpenicilloyl,organ_specific,benzylpenicilloyl,immunological,"['hypersensitivity', 'anaphylactic shock', 'systemic allergic reaction']",3
List benzylpenicilloyl's effects on the cardiovascular system,organ_specific,benzylpenicilloyl,cardiovascular,['hypotension'],1
What dermatological side effects does benzylpenicilloyl cause?,organ_specific,benzylpenicilloyl,dermatological,"['pruritus', 'urticaria']",2
What are the gastrointestinal risks of taking lomitapide?,organ_specific,lomitapide,gastrointestinal,"['vomiting', 'gastrointestinal infection', 'abdominal pain upper', 'lower gastrointestinal haemorrhage', 'constipation', 'reaction gastrointestinal', 'epigastric discomfort', 'gastritis', 'gastric dilatation', 'nausea', 'abdominal pain lower', 'dyspepsia', 'gastrointestinal disorder', 'abdominal distension', 'abdominal tenderness', 'gastric disorder', 'abdominal discomfort', 'gastrointestinal pain', 'abdominal pain']",19
What cardiovascular side effects does lomitapide cause?,organ_specific,lomitapide,cardiovascular,"['angina pectoris', 'cardiac disorder', 'palpitations']",3
List lomitapide's effects on the musculoskeletal system,organ_specific,lomitapide,musculoskeletal,"['joint swelling', 'muscle twitching', 'myalgia', 'muscle spasms', 'arthralgia']",5
What are the dermatological risks of taking lomitapide?,organ_specific,lomitapide,dermatological,"['rash erythematous', 'unspecified disorder of skin and subcutaneous tissue', 'skin disorder', 'dry skin', 'dermatitis bullous']",5
Show neurological toxicity of lomitapide,organ_specific,lomitapide,neurological,"['dizziness', 'headache', 'migraine', 'vertigo']",4
List lomitapide's effects on the hepatobiliary system,organ_specific,lomitapide,hepatobiliary,"['hepatomegaly', 'liver function test abnormal', 'hepatic enzyme increased', 'hepatic steatosis', 'hepatotoxicity', 'hepatobiliary disease']",6
Show renal toxicity of lomitapide,organ_specific,lomitapide,renal,['urinary tract disorder'],1
What respiratory side effects does lomitapide cause?,organ_specific,lomitapide,respiratory,"['upper-airway cough syndrome', 'pulmonary function test abnormal']",2
List thiamine's effects on the immunological system,organ_specific,thiamine,immunological,"['hypersensitivity', 'anaphylactic shock']",2
What gastrointestinal side effects does thiamine cause?,organ_specific,thiamine,gastrointestinal,['nausea'],1
List thiamine's effects on the dermatological system,organ_specific,thiamine,dermatological,"['pruritus', 'urticaria']",2
Show respiratory toxicity of thiamine,organ_specific,thiamine,respiratory,['pulmonary oedema'],1
What are the psychiatric risks of taking thiamine?,organ_specific,thiamine,psychiatric,['agitation'],1
What gastrointestinal side effects does nebivolol cause?,organ_specific,nebivolol,gastrointestinal,"['vomiting', 'nausea', 'gastrointestinal pain', 'gastrointestinal disorder', 'abdominal pain']",5
What are the respiratory risks of taking nebivolol?,organ_specific,nebivolol,respiratory,"['bronchospasm', 'acute pulmonary oedema']",2
What neurological side effects does nebivolol cause?,organ_specific,nebivolol,neurological,"['dizziness', 'headache', 'vertigo']",3
What dermatological side effects does nebivolol cause?,organ_specific,nebivolol,dermatological,"['dermatitis', 'pruritus', 'urticaria', 'unspecified disorder of skin and subcutaneous tissue', 'rash', 'skin disorder', 'psoriasis']",7
What cardiovascular side effects does nebivolol cause?,organ_specific,nebivolol,cardiovascular,"['cardiac disorder', 'bradycardia', 'myocardial infarction']",3
Show immunological toxicity of nebivolol,organ_specific,nebivolol,immunological,"['hypersensitivity', 'allergic cutaneous angiitis', 'leukocytoclastic vasculitis']",3
What renal side effects does nebivolol cause?,organ_specific,nebivolol,renal,['renal failure acute'],1
List nebivolol's effects on the hematological system,organ_specific,nebivolol,hematological,['thrombocytopenia'],1
Find all psychiatric adverse events from nebivolol,organ_specific,nebivolol,psychiatric,['insomnia'],1
What are the gastrointestinal risks of taking sodium?,organ_specific,sodium,gastrointestinal,"['vomiting', 'nausea', 'intestinal obstruction', 'abdominal bloating', 'dyspepsia', 'abdominal cramps', 'gastric irritation', 'abdominal pain upper', 'constipation', 'gastrointestinal pain', 'gastrointestinal disorder', 'abdominal distension', 'intestinal perforation', 'fullness abdominal', 'abdominal pain', 'epigastric discomfort']",16
List sodium's effects on the immunological system,organ_specific,sodium,immunological,"['hypersensitivity', 'type i hypersensitivity', 'anaphylactic shock', 'lupus erythematosus', 'anaphylactoid reaction', 'systemic lupus erythematosus', 'vasculitis']",7
What are the psychiatric risks of taking sodium?,organ_specific,sodium,psychiatric,"['agitation', 'anxiety', 'hallucination', 'insomnia', 'confusional state']",5
What cardiovascular side effects does sodium cause?,organ_specific,sodium,cardiovascular,"['heart rate irregular', 'hypotension', 'pulmonary embolism', 'cardiac arrest', 'venous thrombosis', 'tachycardia', 'hypertension', 'thrombosis', 'orthostatic hypotension', 'bradycardia', 'angina pectoris', 'palpitations', 'cardiac failure congestive', 'arrhythmia', 'cardiac fibrillation', 'myocardial infarction']",16
What respiratory side effects does sodium cause?,organ_specific,sodium,respiratory,"['upper respiratory tract infection', 'bronchospasm', 'bronchopneumonia', 'pneumonia', 'asthmatic attack', 'asthma', 'eosinophilic pneumonia', 'respiratory failure', 'bronchospasm paradoxical', 'cough', 'cough increased', 'pulmonary oedema']",12
List sodium's effects on the neurological system,organ_specific,sodium,neurological,"['dizziness', 'headache', 'migraine', 'paralysis', 'vertigo', 'tremor', 'neurological symptom', 'neuropathy peripheral']",8
Show dermatological toxicity of sodium,organ_specific,sodium,dermatological,"['dermatitis', 'pruritus', 'dermatitis exfoliative', 'urticaria', 'skin discolouration', 'blotchy rash', 'rash', 'rash macular', 'eye pruritus', 'rash maculo-papular', 'photosensitivity', 'photosensitivity reaction']",12
List sodium's effects on the renal system,organ_specific,sodium,renal,"['renal tubular necrosis', 'shutdown renal', 'nephrocalcinosis', 'acute phosphate nephropathy', 'renal impairment', 'urinary tract infection', 'creatinine increased', 'nephrosis', 'blood creatinine increased', 'renal failure acute', 'oliguria', 'renal failure', 'anuria', 'nephrotic syndrome']",14
Find all hematological adverse events from sodium,organ_specific,sodium,hematological,"['neutropenia', 'mucosal bleeding', 'disseminated intravascular coagulation', 'pancytopenia', 'bleeding time prolonged']",5
Show ocular toxicity of sodium,organ_specific,sodium,ocular,"['diplopia', 'vision blurred', 'abnormal vision', 'conjunctivitis']",4
List sodium's effects on the musculoskeletal system,organ_specific,sodium,musculoskeletal,"['joint swelling', 'muscle twitching', 'cramp muscle', 'myalgia', 'muscle spasms', 'arthralgia']",6
Show hepatobiliary toxicity of sodium,organ_specific,sodium,hepatobiliary,"['hepatocellular injury', 'liver disorder', 'foetor hepaticus']",3
Show otic toxicity of sodium,organ_specific,sodium,otic,"['ototoxicity', 'tinnitus']",2
Show endocrine toxicity of sodium,organ_specific,sodium,endocrine,['hypothyroidism'],1
What are the gastrointestinal risks of taking troglitazone?,organ_specific,troglitazone,gastrointestinal,"['vomiting', 'nausea', 'abdominal pain', 'gastrointestinal pain']",4
Find all cardiovascular adverse events from troglitazone,organ_specific,troglitazone,cardiovascular,['cardiac failure congestive'],1
Show hepatobiliary toxicity of troglitazone,organ_specific,troglitazone,hepatobiliary,"['hepatitis', 'hepatic function abnormal', 'jaundice', 'liver function test abnormal']",4
Find all neurological adverse events from troglitazone,organ_specific,troglitazone,neurological,['dizziness'],1
Show immunological toxicity of streptomycin,organ_specific,streptomycin,immunological,['anaphylactic shock'],1
Show otic toxicity of streptomycin,organ_specific,streptomycin,otic,"['ototoxicity', 'deafness']",2
Find all dermatological adverse events from streptomycin,organ_specific,streptomycin,dermatological,"['dermatitis', 'dermatitis exfoliative', 'urticaria', 'rash']",4
What hematological side effects does streptomycin cause?,organ_specific,streptomycin,hematological,"['thrombocytopenia', 'leukopenia', 'pancytopenia']",3
What gastrointestinal side effects does streptomycin cause?,organ_specific,streptomycin,gastrointestinal,"['vomiting', 'nausea']",2
Find all neurological adverse events from streptomycin,organ_specific,streptomycin,neurological,['vertigo'],1
Show renal toxicity of streptomycin,organ_specific,streptomycin,renal,"['renal impairment', 'renal failure', 'nephrotoxicity', 'nephropathy toxic']",4
What gastrointestinal side effects does eptifibatide cause?,organ_specific,eptifibatide,gastrointestinal,"['dyspepsia', 'nausea', 'gastrointestinal pain', 'abdominal pain', 'gastrointestinal haemorrhage']",5
Show immunological toxicity of eptifibatide,organ_specific,eptifibatide,immunological,"['hypersensitivity', 'anaphylactic shock']",2
Find all dermatological adverse events from eptifibatide,organ_specific,eptifibatide,dermatological,"['dermatitis', 'urticaria', 'unspecified disorder of skin and subcutaneous tissue', 'rash', 'skin disorder']",5
What neurological side effects does eptifibatide cause?,organ_specific,eptifibatide,neurological,"['neuropathy peripheral', 'headache']",2
What are the cardiovascular risks of taking eptifibatide?,organ_specific,eptifibatide,cardiovascular,"['cardiac disorder', 'hypotension', 'ventricular tachycardia', 'cardiac arrest', 'hypertension', 'cardiac failure congestive', 'cardiac failure', 'myocardial infarction']",8
What are the respiratory risks of taking eptifibatide?,organ_specific,eptifibatide,respiratory,"['pneumonia', 'pulmonary haemorrhage']",2
What are the hematological risks of taking eptifibatide?,organ_specific,eptifibatide,hematological,['thrombocytopenia'],1
Show renal toxicity of eptifibatide,organ_specific,eptifibatide,renal,"['renal impairment', 'renal failure', 'frank hematuria']",3
Find all hepatobiliary adverse events from eptifibatide,organ_specific,eptifibatide,hepatobiliary,"['hepatic impairment', 'liver disorder']",2
Show psychiatric toxicity of nimodipine,organ_specific,nimodipine,psychiatric,['depression'],1
Show hematological toxicity of nimodipine,organ_specific,nimodipine,hematological,"['thrombocytopenia', 'disseminated intravascular coagulation']",2
What neurological side effects does nimodipine cause?,organ_specific,nimodipine,neurological,"['dizziness', 'headache']",2
What are the dermatological risks of taking nimodipine?,organ_specific,nimodipine,dermatological,"['dermatitis', 'pruritus', 'rash']",3
Find all gastrointestinal adverse events from nimodipine,organ_specific,nimodipine,gastrointestinal,"['vomiting', 'gastrointestinal symptom nos', 'gastrointestinal disorder', 'nausea', 'gastrointestinal haemorrhage']",5
