query,query_type,side_effect,ground_truth_drugs,num_drugs
Show me drugs known to cause oedema genital,class_based,oedema genital,"['fondaparinux', 'phenytoin', 'metronidazole', 'estradiol', 'doxorubicin', 'temsirolimus', 'fosphenytoin', 'dasatinib', 'sildenafil', 'pge2']",10
List medications that can lead to benign neoplasm of skin,class_based,benign neoplasm of skin,"['rapamycin', 'mycophenolate', 'deprenyl', 'ibandronate', 'copolymer', 'tiagabine', 'pregabalin', 'rabeprazole', 'thalidomide', 'maraviroc', 'mycophenolic', 'lantus', 'glat', 'pergolide']",14
What drugs are associated with extrapyramidal symptoms?,class_based,extrapyramidal symptoms,"['duloxetine', 'prochlorperazine', 'imipramine', 'verapamil', 'ketorolac', 'amisulpride', 'cyclobenzaprine', 'perphenazine', 'paroxetine', 'cetirizine', 'molindone', 'lurasidone', 'loxapine', 'pimozide', 'asenapine', 'fentanyl', 'granisetron', 'protriptyline', 'aripiprazole', 'alpha-methyl-p-tyrosine', 'chlorpromazine', 'venlafaxine', 'chlordiazepoxide', 'amiodarone', 'rivastigmine', 'trifluoperazine', 'trimipramine', 'diazoxide', 'iloperidone', 'zyprexa', 'lioh', 'doxepin', 'quetiapine', 'fluvoxamine', 'trazodone', 'sertraline', 'lorazepam', 'buspirone', 'clozapine', 'temazepam', 'droperidol', 'desloratadine', 'paliperidone', 'desipramine', 'zuclopenthixol', 'amoxapine', 'l-dmp', 'fluphenazine', 'amitriptyline', 'thiothixene', 'voriconazole', 'thioridazine', 'varenicline', 'haloperidol', 'diltiazem', 'maprotiline', 'nortriptyline', 'tetrabenazine', 'lithium', 'clomipramine', 'ziprasidone', 'dothiepin', 'carbamazepine', 'promethazine', 'risperidone']",65
Show me drugs known to cause electrocardiogram qt prolonged,class_based,electrocardiogram qt prolonged,"['nelfinavir', 'clonidine', 'gadobenate', 'pimozide', 'aripiprazole', 'formoterol', 'amiodarone', 'olanzapine', 'cilostazol', 'delamanid', 'vernakalant', 'vandetanib', 'ketoconazole', 'fluvoxamine', 'medroxyprogesterone', 'sotalol', 'oxytocin', 'famotidine', 'telithromycin', 'palonosetron', 'indapamide', 'sevoflurane', 'risperidone', 'memantine', 'belinostat', 'asenapine', 'pentamidine', 'rivastigmine', 'methadone', 'signifor', 'erythromycin', 'arsenic', 'nilotinib', 'gemifloxacin', 'pregabalin', 'zuclopenthixol', 'atropine', 'som230', 'voriconazole', 'clomipramine', 'ziprasidone', 'paliperidone', 'dasatinib', 'paroxetine', 'buprenorphine', 'tacrolimus', 'ivabradine', 'citalopram', 'gadoversetamide', 'sugammadex', 'sunitinib', 'gefitinib', 'posaconazole', 'naratriptan', 'ofloxacin', 'amitriptyline', 'tigecycline', 'propafenone', 'vemurafenib', 'regadenoson', 'gadofosveset', 'crizotinib', 'mianserin', 'galantamine', 'clarithromycin', 'bosutinib', 'bepridil', 'anidulafungin', 'quetiapine', 'trazodone', 'ranolazine', 'sertraline', 'atazanavir', 'tizanidine', 'pazopanib', 'moxifloxacin', 'tmc207', 'telavancin', 'haloperidol', 'rabeprazole', 'sitaxsentan', 'dabrafenib', 'nortriptyline', 'ondansetron']",84
What drugs are associated with change of bowel habit?,class_based,change of bowel habit,"['bortezomib', 'cevimeline', 'varenicline', 'memantine', 'lanreotide', 'tramadol', 'citalopram', 'entacapone', 'colestimide', 'frovatriptan']",10
Show me drugs known to cause balanitis,class_based,balanitis,"['minocycline', 'lamotrigine', 'mycophenolate', 'moxifloxacin', 'empagliflozin', 'pge1', 'pantoprazole', 'desmopressin', 'doxorubicin', 'pregabalin', 'dapagliflozin', 'avanafil', 'demeclocycline', 'bicalutamide', 'sildenafil', 'venlafaxine']",16
What drugs are associated with albuminuria?,class_based,albuminuria,"['mycophenolate', 'baclofen', 'gliclazide', 'gadobenate', 'itraconazole', 'aripiprazole', 'sibutramine', 'venlafaxine', 'olanzapine', 'cilostazol', 'diazoxide', 'donepezil', 'rapamycin', 'foscarnet', 'leflunomide', 'reboxetine', 'methylphenidate', 'pantoprazole', 'valdecoxib', 'sevoflurane', 'naproxen', 'rasagiline', 'allopurinol', 'ritonavir', 'candesartan', 'doxapram', 'rivastigmine', 'trimethadione', 'ciprofloxacin', 'cevimeline', 'amphotericin', 'pregabalin', 'bexarotene', 'voriconazole', 'doxorubicin', 'diltiazem', 'lithium', 'clomipramine', 'levetiracetam', 'ziprasidone', 'eplerenone', 'deprenyl', 'paroxetine', 'celecoxib', 'polymyxin', 'zonisamide', 'cas', 'topiramate', '5-asa', 'amikacin', 'tacrolimus', 'optison', 'tramadol', 'tegaserod', 'lioh', 'nabumetone', 'ropivacaine', 'kanamycin', 'posaconazole', 'flurbiprofen', 'meloxicam', 'megestrol', 'fosphenytoin', 'ofloxacin', 'insulin', 'zalcitabine', 'lomefloxacin', 'sparfloxacin', 'isosorbide-5-mononitrate', 'ropinirole', 'modafinil', 'norfloxacin', 'choline', 'thalidomide', 'entacapone', 'gold', 'theophylline', 'fluoxetine', 'aminophylline', 'eprosartan', 'lansoprazole', 'verteporfin', 'omeprazole', 'doxercalciferol', 'azelastine', 'hydroxybutyrate', 'phenytoin', 'dapsone', 'mycophenolic', 'tizanidine', 'dyphylline', 'carvedilol', 'moxifloxacin', '1,25(oh)2d3', 'zaleplon', 'rabeprazole', 'esomeprazole', 'carbamazepine', 'mitotane']",99
Which drugs cause function kidney decreased?,class_based,function kidney decreased,"['allopurinol', 'tobramycin', 'metoclopramide', 'tacrolimus', 'cefotaxime', 'mitomycin', 'procainamide', 'amphotericin', 'morphine', 'ofloxacin', 'v', 'metformin', 'emtricitabine', 'gabapentin', 'voriconazole', 'ly146032', 'didanosine', 'levetiracetam', 'eplerenone', 'risperidone']",20
List medications that can lead to abdominal colic,class_based,abdominal colic,"['saquinavir', 'baclofen', 'nitroglycerin', 'oxycodone', 'bethanechol', 'mesna', 'orlistat', 'loperamide', 'oxprenolol', 'dexpanthenol', 'vincristine', 'morphine', 'prostacyclin', 'piroxicam']",14
List medications that can lead to conduction disorder,class_based,conduction disorder,"['imipramine', 'metoprolol', 'irbesartan-hydrochlorothiazide', 'fosinopril', 'carbamazepine', 'bisoprolol', 'mefloquine', 'irbesartan', 'vandetanib', 'fosinoprilat', 'paliperidone', 'amitriptyline', 'reboxetine', 'ioversol', 'propafenone', 'maprotiline', 'pindolol', 'clomipramine', 'digoxin', 'dothiepin', 'nortriptyline', 'risperidone']",22
Which drugs cause myopathy?,class_based,myopathy,"['mycophenolate', 'demethyl', 'nelfinavir', 'rofecoxib', 'fludrocortisone', 'fentanyl', 'aripiprazole', 'prednisone', 'sibutramine', 'temozolomide', 'venlafaxine', 'amiodarone', 'olanzapine', 'cortisol', 'hydroxychloroquine', 'cerivastatin', 'eaca', 'clomiphene', 'fluvoxamine', 'almotriptan', 'imatinib', 'foscarnet', 'zidovudine/lamivudine', 'acamprosate', 'gemfibrozil', 'cortisone', 'acitretin', 'indapamide', 'nifedipine', 'atracurium', 'erlotinib', 'allopurinol', 'propranolol', 'prednisolone', 'ritonavir', 'chloroquine', 'candesartan', 'abacavir-lamivudine', 'pregabalin', 'k779', 'triamcinolone', 'lamivudine', 'l-dmp', 'emtricitabine', 'ziconotide', 'voriconazole', 'cisatracurium', 'diltiazem', 'vecuronium', 'clomipramine', 'ziprasidone', 'glat', 'fenofibrate', 'deprenyl', 'paroxetine', 'progesterone', 'pramipexole', 'eletriptan', 'ezetimibe', 'cosyntropin', 'citalopram', 'tramadol', 'pravastatin', 'dexamethasone', 'saquinavir', 'sunitinib', 'bortezomib', 'zidovudine', 'adefovir', 'fosphenytoin', 'sumatriptan', 'v', 'fluvastatin', 'colchicine', 'leuprorelin', 'zalcitabine', 'rosuvastatin', 'pitavastatin', 'zopiclone', 'didanosine', 'raltegravir', 'efavirenz', 'copolymer', 'thymidine', 'carbimazole', 'propoxyphene', 'fluoxetine', 'simvastatin', 'clarithromycin', 'lovastatin', 'tenofovir', 'sodium', 'phenytoin', 'atazanavir', 'rocuronium', 'niacin', 'ly146032', 'methylprednisolone', 'rifampicin', 'atorvastatin']",100
What drugs are associated with blood thyroid stimulating hormone increased?,class_based,blood thyroid stimulating hormone increased,"['amiodarone', 'saquinavir', 'darunavir', 'sunitinib', 'sorafenib', 'memantine', 'axitinib', 'sumatriptan', 'lithium', 'ribavirin', 'febuxostat', 'pazopanib', 'carbamazepine', 'cabozantinib']",14
List medications that can lead to libido increased,class_based,libido increased,"['ketorolac', 'bupropion', 'levodopa/carbidopa', 'aripiprazole', 'sibutramine', 'venlafaxine', 'bromocriptine', 'olanzapine', 'desogestrel', 'testosterone', 'delamanid', 'donepezil', 'cyproterone', 'fluvoxamine', 'pergolide', 'medroxyprogesterone', 'acamprosate', 'goserelin', 'clonazepam', 'risperidone', 'alprazolam', 'rasagiline', 'memantine', 'diane-35', 'oxcarbazepine', 'rivastigmine', 'estradiol', 'pregabalin', 'buspirone', 'nefazodone', 'zuclopenthixol', 'l-dmp', 'fluphenazine', 'riluzole', 'gabapentin', 'butorphanol', 'rotigotine', 'deprenyl', 'stalevo', 'cyclobenzaprine', 'tiagabine', 'paroxetine', 'pramipexole', 'levonorgestrel', 'topiramate', 'tolcapone', 'citalopram', 'lisuride', 'amantadine', 'cidofovir', 'v', 'leuprorelin', 'varenicline', 'ropinirole', 'apomorphine', 'molindone', 'entacapone', 'mirtazapine', 'fluoxetine', 'galantamine', 'diazepam', 'lansoprazole', 'quetiapine', 'triphasil', 'melatonin', 'trazodone', 'colestyramine', 'sertraline', 'trisequens', 'carbidopa', 'niacin', 'lamotrigine', 'bosentan', 'cabergoline', 'haloperidol', 'ethosuximide', 'nafarelin']",77
Show me drugs known to cause cardiotoxicity,class_based,cardiotoxicity,"['procarbazine', 'dexrazoxane', 'fluoxetine', 'quinidine', 'teniposide', '5-fu', 'anthracycline', 'mitomycin', 'cytarabine', 'ifosfamide', 'bortezomib', 'idarubicin', 'gemcitabine', 'lapatinib', 'cyclophosphamide', 'etoposide', 'mitoxantrone', 'doxorubicin', 'digoxin', 'docetaxel', 'pixantrone']",21
What drugs are associated with salivation?,class_based,salivation,"['perphenazine', 'nitrazepam', 'neostigmine', 'molindone', 'tinidazole', 'midazolam', 'entacapone', 'propantheline', 'alpha-methyl-p-tyrosine', 'fluoxetine', 'amiodarone', 'dimercaprol', 'iodipamide', 'fluconazole', 'bethanechol', 'carbachol', 'diazepam', 'ketoprofen', 'glucose', 'sodium', 'glycine', 'ifosfamide', 'flumazenil', 'nicotine', 'sertraline', 'buspirone', 'clozapine', 'iopromide', 'physostigmine', 'fluphenazine', 'aprepitant', 'pilocarpine', 'sparfloxacin', 'pancuronium', 'iodide', 'gd-dtpa', 'irinotecan', 'isoflurane', 'betaxolol', 'methohexital', 'risperidone', 'alprazolam', 'pentoxifylline']",43
What drugs are associated with asthma?,class_based,asthma,"['minocycline', 'indomethacin', 'mycophenolate', 'tiaprofenic', 'n-acetylcysteine', 'anagrelide', 'ketorolac', 'perphenazine', 'ramipril', 'rofecoxib', 'ivermectin', 'clonidine', 'bupropion', 'gliclazide', 'iron', 'gadobenate', 'fentanyl', 'phencyclidine', 'aripiprazole', 'formoterol', 'sibutramine', 'chlorpromazine', 'venlafaxine', 'conjugated', 'piroxicam', 'olanzapine', 'ibandronate', 'carbachol', 'cilostazol', 'dalteparin', 'testosterone', 'iopamidol', 'fosfomycin', 'ribavirin', 'donepezil', 'cyproterone', 'tafluprost', 'fluvoxamine', 'pergolide', 'hydromorphone', 'mefenamic', 'rapamycin', 'medroxyprogesterone', 'iodixanol', 'nitrofurantoin', 'sotalol', 'travoprost', 'oseltamivir', 'iopromide', 'acamprosate', 'leflunomide', 'isomannide', 'bpti', 'methylphenidate', 'beclomethasone', 'roxithromycin', 'oxybutynin', 'heparin', 'pantoprazole', 'montelukast', 'clonazepam', 'felbamate', 'indapamide', 'pentostatin', 'betaxolol', 'lantus', 'cefpodoxime', 'guanfacine', 'naproxen', 'risperidone', 'rasagiline', 'allopurinol', 'prochlorperazine', 'gadolinium', 'metrodin', 'brinzolamide', 'memantine', 'tobramycin', 'ritonavir', 'ertapenem', 'retinoic', 'nisoldipine', 'estazolam', 'apraclonidine', 'pentamidine', 'oxcarbazepine', 'pyridostigmine', 'bethanechol', 'd-penicillamine', 'estradiol', 'zoledronic', 'bisoprolol', 'doxepin', 'aspirin', 'risedronate', 'clobazam', 'clopidogrel', 'ciprofloxacin', 'bimatoprost', 'indacaterol', 'paricalcitol', 'cevimeline', 'carboprost', 'amphotericin', 'pregabalin', 'k779', 'nefazodone', 'triamcinolone', 'l-dmp', 'fluphenazine', 'riluzole', 'gabapentin', 'fluorescein', 'metaproterenol', 'ipratropium', 'histamine', 'trovafloxacin', 'doxorubicin', 'propericiazine', 'estrone', 'benazeprilat', 'lercanidipine', 'levetiracetam', 'promethazine', 'glat', 'dasatinib', 'fenofibrate', 'deprenyl', 'tiagabine', 'lovaza', 'paroxetine', 'progesterone', 'pramipexole', 'buprenorphine', 'colimycin', 'implanon', 'levonorgestrel', 'eletriptan', 'cefditoren', 'rifapentine', 'sildenafil', 'alendronate', 'cas', 'fosinopril', 'tenoxicam', 'topiramate', 'tolcapone', 'cosyntropin', 'ketoprofen', '5-asa', 'tacrolimus', 'citalopram', 'tramadol', 'diatrizoate', 'nabumetone', 'desonide', 'meropenem', 'gadoversetamide', 'tegaserod', 'irbesartan', 'ogen', 'etidronate', 'azithromycin', 'estrofem', 'ioxaglate', 'timolol', 'saquinavir', 'cefdinir', 'oestrogen', 'metronidazole', 'naratriptan', 'capecitabine', 'flurbiprofen', 'meloxicam', 'fosphenytoin', 'salicylate', 'sumatriptan', 'supremon', 'ofloxacin', 'lidocaine', 'cidofovir', 'insulin', 'leuprorelin', 'ioversol', 'glycerol', 'sparfloxacin', 'lenalidomide', 'varenicline', 'isosorbide-5-mononitrate', 'orlistat', 'zopiclone', 'latanoprost', 'bicalutamide', 'ibuprofen', 'ropinirole', 'deferoxamine', 'modafinil', 'regadenoson', 'efavirenz', 'octreotide', 'copolymer', 'mometasone', 'desflurane', 'terazosin', 'zanamivir', 'perindopril', 'betahistine', 'mirtazapine', 'busulfan', 'quinidine', 'fluoxetine', 'eprosartan', 'metoclopramide', 'trifluoperazine', 'diazepam', 'methotrexate', 'clarithromycin', 'lansoprazole', 'iloperidone', 'diclofenac', 'omeprazole', 'quetiapine', 'benazepril', 'sodium', 'fluticasone', 'colestyramine', 'nalbuphine', 'oxycodone', 'telmisartan', 'azelastine', 'etodolac', 'phenytoin', 'phenobarbital', 'cefaclor', 'bromfenac', 'mycophenolic', 'tizanidine', 'rocuronium', 'sacrosidase', 'pimecrolimus', 'azelaic', 'lamotrigine', 'bosentan', 'moxifloxacin', 'thioridazine', 'lisinopril', 'zaleplon', 'rabeprazole', 'salmeterol', 'esomeprazole', 'salbutamol', 'isosulfan', 'oxaprozin', 'udca', 'acetaminophen', 'sitaxsentan', 'gatifloxacin', 'atorvastatin', 'pge2', 'ondansetron']",260
Show me drugs known to cause gastric irritation,class_based,gastric irritation,"['duloxetine', 'deprenyl', 'hydrochlorothiazide', 'thiazide', 'bupropion', 'gliclazide', 'prednisolone', 'dantrolene', 'bendrofluazide', 'candesartan', 'theophylline', 'prednisone', 'quinidine', 'benicar-hct', 'polythiazide', 'irbesartan-hydrochlorothiazide', 'orphenadrine', 'tramadol', 'captopril', 'losartan', 'aspirin', 'chlorthalidone', 'furosemide', 'irbesartan', 'hydroflumethiazide', 'sodium', 'phenytoin', 'paroven', 'guanidinium', 'dipyridamole', 'fluphenazine', 'poly(styrene', 'zinc', 'methyclothiazide', 'hydroxyurea', 'olmesartan', 'indapamide']",37
What drugs are associated with ventricular bigeminy?,class_based,ventricular bigeminy,"['deprenyl', 'desflurane', 'midazolam', 'propofol', 'mirtazapine', 'venlafaxine', 'nadolol', 'iopamidol', 'ribavirin', 'ciprofloxacin', 'pregabalin', 'aztreonam', 'sativex', 'paclitaxel', 'voriconazole', 'zaleplon', 'sitaxsentan', 'digoxin', 'sevoflurane', 'rasagiline']",20
Which drugs cause red blood cell count decreased?,class_based,red blood cell count decreased,"['paclitaxel', 'brinzolamide', 'propafenone', 'tramadol', 'gadobenate', 'gemifloxacin', 'febuxostat', 'sitaxsentan', 'aripiprazole', 'riluzole', 'leuprorelin']",11
Show me drugs known to cause subarachnoid haemorrhage,class_based,subarachnoid haemorrhage,"['apixaban', 'aripiprazole', 'zolmitriptan', 'doxazosin', 'olanzapine', 'dalteparin', 'dabigatran', 'pentosan', 'fluticasone', 'nimodipine', 'tranylcypromine', 'epinephrine', 'naratriptan', 'pregabalin', 'phenylephrine', 'flurbiprofen', 'sumatriptan', 'riluzole', 'zalcitabine', 'oxytocin', 'bosentan', 'lenalidomide', 'dasatinib', 'ropinirole']",24
Show me drugs known to cause angina unstable,class_based,angina unstable,"['nitroglycerin', 'rofecoxib', 'esmolol', 'enfuvirtide', 'maraviroc', 'dapagliflozin', 'celecoxib', 'tadalafil', 'sildenafil', 'etoricoxib', 'naltrexone', 'tramadol', 'bortezomib', 'capecitabine', 'vardenafil', 'oseltamivir', 'avanafil', 'argatroban', 'riluzole', 'isomannide', 'metformin', 'carvedilol', 'propafenone', 'valdecoxib', 'eplerenone', 'docetaxel', 'isosorbide', 'ropinirole']",28
Show me drugs known to cause tooth discolouration,class_based,tooth discolouration,"['minocycline', 'gabapentin', 'ciprofloxacin', 'oxycodone', 'cefprozil', 'doxycycline', 'amoxicillin', 'clarithromycin', 'posaconazole', 'tigecycline', 'su5416', 'ntbc', 'demeclocycline', 'linezolid', 'ertapenem', 'sativex', 'fluticasone']",17
What drugs are associated with tongue disorder?,class_based,tongue disorder,"['baclofen', 'ketorolac', 'ganciclovir', 'nabilone', 'bupropion', 'gadobenate', 'fentanyl', 'aripiprazole', 'sibutramine', 'venlafaxine', 'budesonide', 'olanzapine', 'delavirdine', 'cilostazol', 'donepezil', 'fluvoxamine', 'iopromide', 'pilocarpine', 'oxybutynin', 'acitretin', 'refludan', 'clonazepam', 'chlorhexidine', 'cefpodoxime', 'risperidone', 'rasagiline', 'allopurinol', 'gadolinium', 'polyoxyethylene', 'nitrazepam', 'cetirizine', 'ritonavir', 'ertapenem', 'zolmitriptan', 'doxazosin', 'mthpc', 'gadoteridol', 'valganciclovir', 'etoricoxib', 'ciprofloxacin', 'cevimeline', 'pregabalin', 'k779', 'l-dmp', 'gabapentin', 'voriconazole', 'ipratropium', 'rotigotine', 'trovafloxacin', 'lercanidipine', 'ziprasidone', 'dasatinib', 'glat', 'deprenyl', 'cyclobenzaprine', 'paroxetine', 'pramipexole', 'rizatriptan', 'eletriptan', 'topiramate', 'tolcapone', '5-asa', 'optison', 'citalopram', 'tramadol', 'gadoversetamide', 'bortezomib', 'flumazenil', 'nicotine', 'capecitabine', 'posaconazole', 'zidovudine', 'fosphenytoin', 'ofloxacin', 'v', 'zalcitabine', 'sparfloxacin', 'zopiclone', 'ropinirole', 'copolymer', 'mirtazapine', 'salmon', 'fluoxetine', 'lansoprazole', 'omeprazole', 'quetiapine', 'melatonin', 'fluticasone', 'phenytoin', 'sertraline', 'niacin', 'lamotrigine', 'moxifloxacin', 'zaleplon', 'esomeprazole', 'ethosuximide', 'sitaxsentan', 'nortriptyline', 'gatifloxacin']",99
Show me drugs known to cause acute leukaemia,class_based,acute leukaemia,"['bcnu', 'deprenyl', 'copolymer', 'procarbazine', 'thalidomide', 'ritonavir', 'busulfan', 'temozolomide', 'teniposide', 'topotecan', 'saquinavir', 'ifosfamide', 'medroxyprogesterone', 'cgp', 'cisplatin', 'clodronate', 'fludarabine', 'azathioprine', 'cyclophosphamide', 'etoposide', 'paclitaxel', 'lenalidomide', 'doxorubicin', 'irinotecan', 'felbamate', 'lomustine', 'pentostatin', 'melphalan', 'docetaxel', 'glat', 'thiotepa']",31
What drugs are associated with gastric haemorrhage?,class_based,gastric haemorrhage,"['bromocriptine', 'demethyl', 'spironolactone', 'ponatinib', 'bosutinib', 'axitinib', 'methylprednisolone', 'pazopanib', 'dabrafenib', 'dabigatran', 'trametinib', 'ropinirole']",12
Show me drugs known to cause disturbance in attention,class_based,disturbance in attention,"['ketorolac', 'scopolamine', 'vigabatrin', 'ramipril', 'nabilone', 'bupropion', 'gliclazide', 'fentanyl', 'aripiprazole', 'sibutramine', 'temozolomide', 'delavirdine', 'testosterone', 'ribavirin', 'hydromorphone', 'almotriptan', 'isomannide', 'tropicamide', 'telithromycin', 'montelukast', 'clonazepam', 'felbamate', 'betaxolol', 'nifedipine', 'cefpodoxime', 'risperidone', 'naproxen', 'alprazolam', 'desmopressin', 'duloxetine', 'darunavir', 'sofosbuvir', 'memantine', 'cetirizine', 'ritonavir', 'doxazosin', 'oxcarbazepine', 'rivastigmine', 'lorcaserin', 'desvenlafaxine', 'nilotinib', 'doxepin', 'furosemide', 'nalmefene', 'valproate', 'ciprofloxacin', 'zolpidem', 'pregabalin', 'k779', 'zuclopenthixol', 'boceprevir', 'ziconotide', 'etravirine', 'trovafloxacin', 'clomipramine', 'levetiracetam', 'ziprasidone', 'paliperidone', 'lacosamide', 'cabozantinib', 'rufinamide', 'cyclobenzaprine', 'amphetamine', 'paroxetine', 'progesterone', 'pramipexole', 'buprenorphine', 'rizatriptan', 'tiagabine', 'enfuvirtide', 'rifaximin', 'zonisamide', 'acetaminophen', 'topiramate', 'eslicarbazepine', 'citalopram', 'tramadol', 'tegaserod', 'bortezomib', 'nicotine', 'posaconazole', 'novolog', 'rifampicin', 'amantadine', 'amoxapine', 'insulin', 'amitriptyline', 'v', 'zalcitabine', 'lomefloxacin', 'varenicline', 'isosorbide-5-mononitrate', 'lormetazepam', 'raltegravir', 'ropinirole', 'modafinil', 'efavirenz', 'metoprolol', 'entacapone', 'mirtazapine', 'frovatriptan', 'fluoxetine', 'dihydroergotamine', 'diazepam', 'naltrexone', 'diclofenac', 'quetiapine', 'melatonin', 'trazodone', 'tapentadol', 'nelarabine', 'hydroxybutyrate', 'chlorpheniramine', 'sertraline', 'retigabine', 'glimepiride', 'sativex', 'rimonabant', 'bosentan', 'cabergoline', 'carvedilol', 'zaleplon', 'ethosuximide', 'sitaxsentan', 'dothiepin', 'mdv3100', 'rimantadine']",127
List medications that can lead to herpes zoster,class_based,herpes zoster,"['mycophenolate', 'rofecoxib', 'bupropion', 'maraviroc', 'itraconazole', 'fentanyl', 'formoterol', 'sibutramine', 'ruxolitinib', 'temozolomide', 'delavirdine', 'ribavirin', 'delamanid', 'donepezil', 'fluvoxamine', 'pergolide', 'rapamycin', 'tiotropium', 'imatinib', 'leflunomide', 'goserelin', 'fludarabine', 'pantoprazole', 'pentostatin', 'valdecoxib', 'lantus', 'naproxen', 'metrodin', 'memantine', 'indinavir', 'nisoldipine', 'doxazosin', 'ofatumumab', 'pentamidine', 'rivastigmine', 'cabazitaxel', 'arsenic', 'etoricoxib', 'estradiol', 'doxepin', 'risedronate', 'ifosfamide', 'cevimeline', 'zolpidem', 'tofacitinib', 'pregabalin', 'k779', 'bexarotene', 'pamidronate', 'l-dmp', 'rescinnamine', 'gabapentin', 'doxorubicin', 'glat', 'fenofibrate', 'nitrogen', 'deprenyl', 'famp', 'famciclovir', 'tiagabine', 'paroxetine', 'pramipexole', 'celecoxib', 'rifapentine', 'cas', 'tolcapone', 'tacrolimus', 'eribulin', 'citalopram', 'tramadol', 'saquinavir', 'bortezomib', 'capecitabine', 'flurbiprofen', 'temsirolimus', 'bendamustine', 'febuxostat', 'ustekinumab', 'v', 'leuprorelin', 'sparfloxacin', 'paclitaxel', 'azathioprine', 'cyclophosphamide', 'zopiclone', 'raltegravir', 'bicalutamide', 'ropinirole', 'pixantrone', 'copolymer', 'octreotide', 'mirtazapine', 'forteo', 'fluoxetine', 'tipranavir', 'methotrexate', 'lansoprazole', 'clofarabine', 'melatonin', 'cladribine', 'everolimus', 'sitagliptin', 'mycophenolic', 'capsaicin', 'tizanidine', 'niacin', 'lamotrigine', 'ge-132', 'flutamide', 'lisinopril', 'imiquimod', 'fty720', 'rabeprazole', 'sitaxsentan']",114
List medications that can lead to anaemia macrocytic,class_based,anaemia macrocytic,"['lamotrigine', 'rasagiline', 'azathioprine', 'flutamide', 'zolpidem', 'pregabalin', 'thalidomide', 'aripiprazole', 'carbamazepine', 'valproate']",10
List medications that can lead to cerebrovascular disorder,class_based,cerebrovascular disorder,"['baclofen', 'deprenyl', 'metoprolol', 'ramipril', 'memantine', 'paroxetine', 'gliclazide', 'celecoxib', 'cilazapril', 'indinavir', 'mirtazapine', 'eletriptan', 'doxazosin', 'sildenafil', 'rivastigmine', 'galantamine', 'ibandronate', '5-fu', 'desvenlafaxine', 'estradiol', 'parecoxib', 'citalopram', 'bisoprolol', 'timolol', 'ciprofloxacin', 'telmisartan', 'iodixanol', 'bortezomib', 'sertraline', 'zolpidem', 'pregabalin', 'foscarnet', 'argatroban', 'ofloxacin', 'insulin', 'cidofovir', 'lomefloxacin', 'methylphenidate', 'carvedilol', 'glibenclamide', 'isosorbide-5-mononitrate', 'revasc', 'felbamate', 'valdecoxib', 'betaxolol', 'paliperidone', 'eplerenone', 'rimantadine', 'risperidone', 'ropinirole']",50
Show me drugs known to cause aphthous stomatitis,class_based,aphthous stomatitis,"['duloxetine', 'darunavir', 'afatinib', 'anagrelide', 'rofecoxib', 'amlexanox', 'ganciclovir', 'paroxetine', 'pramipexole', 'nabilone', 'thalidomide', 'fentanyl', 'indinavir', 'mirtazapine', 'fluoxetine', 'trametinib', 'olanzapine', 'delavirdine', 'etoricoxib', 'tacrolimus', 'iloperidone', 'diclofenac', 'captopril', 'doxepin', 'midodrine', 'ribavirin', 'acyclovir', 'pergolide', 'saquinavir', 'sunitinib', 'everolimus', 'azelastine', 'doxycycline', 'nicotine', 'sertraline', 'pregabalin', 'atazanavir', 'k779', 'temsirolimus', 'boceprevir', 'leflunomide', 'cidofovir', 'l-dmp', 'lamotrigine', 'lenalidomide', 'moxifloxacin', 'fenoprofen', 'varenicline', 'telithromycin', 'pantoprazole', 'zaleplon', 'sorafenib', 'doxorubicin', 'chlorhexidine', 'lercanidipine', 'naproxen']",56
Show me drugs known to cause myopia,class_based,myopia,"['memantine', 'pramipexole', 'candesartan', 'dorzolamide', 'sildenafil', 'doxazosin', 'topiramate', 'echothiophate', 'citalopram', 'methazolamide', 'cevimeline', 'metronidazole', 'acetazolamide', 'atropine', 'cyclophosphamide', 'varenicline', 'ethosuximide', 'indapamide', 'montelukast']",19
List medications that can lead to renal colic,class_based,renal colic,"['clopidogrel', 'ioversol', 'norfloxacin', 'saquinavir', 'topiramate', 'cabazitaxel', 'retigabine', 'probenecid', 'pramipexole', 'dichlorphenamide', 'teduglutide', 'testosterone', 'vinflunine', 'bisoprolol', 'indinavir', 'vandetanib']",16
What drugs are associated with electrolyte imbalance?,class_based,electrolyte imbalance,"['allopurinol', 'indomethacin', 'gadofosveset', 'hydrochlorothiazide', 'icodextrin', 'thiazide', 'thalidomide', 'ritonavir', 'candesartan', 'irbesartan-hydrochlorothiazide', 'cabazitaxel', 'cortisol', 'oxaliplatin', 'remifentanil', 'eslicarbazepine', 'zoledronic', 'nilotinib', 'mannitol', 'bumetanide', 'irbesartan', 'dexamethasone', 'pergolide', 'methazolamide', 'nsc', 'glycine', 'ciprofloxacin', 'nitrofurantoin', 'lubiprostone', 'bortezomib', 'cevimeline', 'dexmedetomidine', 'posaconazole', 'foscarnet', 'acetazolamide', 'pamidronate', 'colestimide', 'ofloxacin', 'vinorelbine', 'photofrin', 'cancidas', 'methyclothiazide', 'paclitaxel', 'olmesartan', 'dichlorphenamide', 'irinotecan', 'ly146032', 'indapamide', 'lithium', 'methylprednisolone', 'trimetrexate', 'ropinirole']",51
