query,query_type,drug,ground_truth_side_effects,num_side_effects
Show me side effects associated with salsalate,reverse,salsalate,"['diarrhoea', 'hepatitis', 'anaphylactic shock', 'gastrointestinal pain', 'nausea', 'nephritis', 'dermatitis', 'rash', 'deafness', 'angioedema', 'bronchospasm', 'hypotension', 'haemoglobin', 'urticaria', 'haemorrhage', 'hearing impaired', 'creatinine low', 'abdominal pain', 'vertigo', 'tinnitus', 'blood creatinine decreased']",21
Show me side effects associated with levodopa/carbidopa,reverse,levodopa/carbidopa,"['somnolence', 'gastrointestinal pain', 'tremor', 'burning tongue', 'chorea', 'cough', 'heartburn', 'dermatitis', 'psychotic disorder', 'priapism', 'agitation', 'salivary hypersecretion', 'paraesthesia', 'syncope', 'hot flush', 'sensory loss', 'weight increased', 'palpitations', 'hyperhidrosis', 'decreased appetite', 'headache', 'dysphagia', 'malignant melanoma', 'psychotic episode', 'glossodynia', 'pain in extremity', 'weight decreased', 'neuropathy peripheral', 'leg pain', 'gastrointestinal haemorrhage', 'anorexia', 'pruritus', 'oculogyric crisis', 'hypertension', 'oedema', 'shock', 'anaemia', 'upper respiratory tract infection', 'diarrhoea', 'pain', 'discomfort', 'menopausal symptoms', 'diplopia', 'vision blurred', 'anxiety', 'hoarseness', 'alopecia', 'urinary incontinence', 'depression', 'hallucination', 'neuroleptic malignant syndrome', 'henoch-schonlein purpura', 'flatulence', 'mydriasis', 'hypotension', 'pollakiuria', 'memory impairment', 'constipation', 'fatigue', 'rhinitis', 'flushing', 'gait disturbance', 'blepharospasm', 'acute coronary syndrome', 'sweating increased', 'muscle twitching', 'hypersensitivity', 'dyskinesia', 'delusion', 'ataxia', 'blood urea increased', 'ill-defined disorder', 'vomiting', 'trismus', 'libido increased', 'disturbance in sexual arousal', 'hiccups', 'asthenia', 'cramp muscle', 'muscle spasms', 'common cold', 'nausea', 'euphoric mood', 'dry mouth', 'convulsion', 'dyspepsia', 'blister', 'angioedema', 'numbness', 'loss of consciousness', 'duodenal ulcer', 'nightmare', 'dyspnoea', 'dizziness', 'nervousness', 'abdominal pain', 'shoulder pain', 'bruxism', 'myocardial infarction', 'phlebitis', 'insomnia', 'sleep disorder', 'confusional state', 'extrapyramidal disorder', 'white blood cell count decreased', 'leukopenia', 'urinary retention', 'tension', 'feeling abnormal', 'rash', 'hypoaesthesia', 'chest pain', 'pemphigus', 'agranulocytosis', 'thrombocytopenia', 'disorientation', 'orthostatic hypotension', 'urinary tract infection', 'malaise', ""horner's syndrome"", 'dementia', 'back pain', 'nasopharyngitis', 'haemoglobin decreased', 'depression suicidal', 'dermatitis bullous', 'musculoskeletal pain', 'dysphonia']",128
What adverse events does pizotifen cause?,reverse,pizotifen,"['confusional state', 'somnolence', 'myalgia', 'asthenia', 'tension', 'nausea', 'dry mouth', 'feeling abnormal', 'dyspepsia', 'weight increased', 'drowsiness', 'musculoskeletal discomfort', 'headache', 'dizziness', 'erectile dysfunction', 'hypotension', 'nervousness', 'increased appetite', 'fatigue', 'epigastric distress', 'oedema']",21
List all side effects of phenobarbital,reverse,phenobarbital,"['somnolence', 'myalgia', 'hypothermia', 'dermatitis', 'agitation', 'laryngospasm', 'syncope', 'renal failure', 'arthralgia', 'headache', 'necrosis', 'irritability', 'folate deficiency', 'hypocalcaemia', 'vertigo', 'hangover', 'shock', 'stevens-johnson syndrome', 'congenital anomaly', 'pain', 'vitamin k deficiency', 'anxiety', 'coma', 'localised oedema', 'hallucination', 'hepatocellular injury', 'mood swings', 'affect lability', 'musculoskeletal discomfort', 'hypotension', 'mental disability', 'constipation', 'extravasation', 'delirium', 'respiratory failure', 'emotional disturbance nos', 'liver injury', 'hypersensitivity', 'ataxia', 'cns depression nos', 'vomiting', 'hepatitis', 'lethargy', 'body temperature increased', 'asthma', 'phobia', 'nausea', 'injection site reaction', 'apnoea', 'emotional disorder', 'erythema multiforme', 'blister', 'angioedema', 'loss of consciousness', 'osteomalacia', 'nightmare', 'anaemia megaloblastic', 'pulmonary function test decreased', 'dizziness', 'respiratory depression', 'urticaria', 'arthritic pains', 'nervousness', 'suicidal ideation', 'developmental delay', 'suicidal behaviour', 'nystagmus', 'excitement', 'confusional state', 'dermatitis exfoliative', 'tension', 'feeling abnormal', 'body temperature decreased', 'rash', 'drowsiness', 'hypoxia', 'erythema', 'bradycardia', 'thinking abnormal', 'hypoventilation', 'hyperkinesia', 'depressed level of consciousness', 'toxic epidermal necrolysis', 'dermatitis bullous']",84
What adverse events does folate cause?,reverse,folate,"['confusional state', 'anaphylactic shock', 'discomfort', 'gastrointestinal disorder', 'nausea', 'dermatitis', 'feeling abnormal', 'convulsion', 'agitation', 'rash', 'bad taste', 'abdominal distension', 'dyspepsia', 'excitement', 'depression', 'decreased appetite', 'erythema', 'bronchospasm', 'dyspnoea', 'flatulence', 'malaise', 'judgement impaired', 'overactivity', 'irritability', 'sensitisation', 'anorexia', 'pruritus', 'digestion impaired', 'vitamin b12 deficiency', 'ill-defined disorder', 'dysgeusia']",31
List all side effects of lisuride,reverse,lisuride,"['confusional state', 'mental disorder', 'erythromelalgia', 'libido increased', 'disturbance in sexual arousal', 'mental disorder due to a general medical condition', 'nervous system disorder', 'pleural effusion', 'tachycardia', 'vomiting', 'regurgitation', 'somnolence', 'cardiac disorder', 'mediastinal disorder', 'asthenia', 'retroperitoneal fibrosis', 'gastrointestinal disorder', 'abdominal discomfort', 'cough', 'hypersexuality', 'pleural fibrosis', 'anxiety', 'feeling abnormal', 'pleurisy', 'dry mouth', 'pericarditis', 'syncope', 'infection', 'hyperprolactinaemia', 'immune system disorder', 'oedema peripheral', 'aggression', 'hallucination', 'pathological gambling', 'dehydration', 'weight increased', 'violent', 'palpitations', 'hyperhidrosis', 'nightmare', 'decreased appetite', 'pulmonary fibrosis', 'dyspnoea', 'headache', 'dizziness', 'orthostatic hypotension', 'disorientation', 'orthostatic collapse', 'obstipation', 'pericardial effusion', 'angiopathy', 'binge eating', 'constipation', 'weight decreased', 'blood pressure increased', 'dementia', 'peripheral coldness', 'fatigue', 'organic brain syndrome', 'anorexia', 'cardiac valve disease', 'myoclonus', 'vertigo', 'insomnia', 'sudden onset of sleep', 'malnutrition', 'sweating']",67
List all side effects of nalmefene,reverse,nalmefene,"['diarrhoea', 'confusional state', 'mental disorder', 'hepatitis', 'withdrawal syndrome', 'disturbance in sexual arousal', 'body temperature increased', 'nervous system disorder', 'vomiting', 'alcohol withdrawal syndrome', 'somnolence', 'abdominal cramps', 'procedural pain', 'myalgia', 'discomfort', 'cardiac disorder', 'tremor', 'asthenia', 'somatic hallucination', 'gastrointestinal disorder', 'muscle spasms', 'tension', 'urinary retention', 'nausea', 'disturbance in attention', 'feeling abnormal', 'dry mouth', 'agitation', 'pharyngitis', 'connective tissue disorder', 'paraesthesia', 'aspartate aminotransferase increased', 'hypoaesthesia', 'dissociation', 'hallucination', 'arthralgia', 'palpitations', 'hyperhidrosis', 'chills', 'loss of libido', 'decreased appetite', 'musculoskeletal discomfort', 'skin disorder', 'headache', 'dizziness', 'dysphoria', 'alcoholic psychosis', 'malnutrition', 'unspecified disorder of skin and subcutaneous tissue', 'hypotension', 'malaise', 'bradycardia', 'arrhythmia', 'nervousness', 'weight decreased', 'hallucination, visual', 'fatigue', 'libido decreased', 'abdominal pain', 'hallucination, auditory', 'pruritus', 'postoperative pain', 'myoclonus', 'liver injury', 'insomnia', 'hypertension', 'sleep disorder', 'traumatic liver injury', 'ill-defined disorder', 'tachycardia']",70
Show me side effects associated with fluocinolone,reverse,fluocinolone,"['eyelid oedema', 'implant expulsion', 'endophthalmitis', 'otitis media', 'gastrointestinal disorder', 'cough', 'dermatitis', 'dizziness postural', 'secondary infection', 'condition aggravated', 'folliculitis', 'pustule', 'intraocular pressure increased', 'arthralgia', 'mechanical complication of implant', 'eczema', 'headache', 'eye pruritus', 'pain in extremity', 'mania', 'eye infection', 'pruritus', 'skin infection', 'maculopathy', 'vertigo', 'visual impairment', 'retinal haemorrhage', 'oedema', 'otitis', 'taste metallic', 'dysgeusia', 'upper respiratory tract infection', 'diarrhoea', 'pain', 'mediastinal disorder', 'skin hyperpigmentation', 'diplopia', 'vision blurred', 'neck pain', 'rhinorrhoea', 'vitreous floaters', 'deafness neurosensory', 'ear canal erythema', 'rash papular', 'eye pain', 'hyphaema', 'ear infection', 'alopecia', 'lacrimation', 'wound', 'chemosis', 'papule', 'conjunctival hyperaemia', 'iris adhesions', 'migration of implant', 'rash pustular', 'musculoskeletal discomfort', 'photophobia', 'dermatitis perioral', 'eye irritation', 'photopsia', 'rhinitis', 'vitreous haemorrhage', 'open wound', 'acneiform eruption', 'wound complication', 'skin atrophy', 'hypersensitivity', 'dermatitis acneiform', 'vomiting', 'body temperature increased', 'leukoderma', 'device dislocation', 'abrasion nos', 'keratosis pilaris', 'device expulsion', 'common cold', 'nausea', 'macular oedema', 'wheezing', 'corneal oedema', 'procedural complication', 'type 2 diabetes mellitus', 'wound dehiscence', 'glaucoma', 'eye disorder', 'fungal skin infection', 'dizziness', 'acute gastroenteritis', 'corneal irritation', 'retinal detachment', 'dry eye', 'external ear disorder', 'medical device complication', 'dermatitis contact', 'ear and labyrinth disorders', 'hypoglycaemia', 'conjunctival oedema', 'telangiectasia', 'malnutrition', 'herpes simplex', 'influenza', 'mental disorder', 'gastroenteritis', 'nervous system disorder', 'ulcerative keratitis', 'abscess', 'allergic contact dermatitis', 'panophthalmitis', 'sinusitis', 'skin irritation', 'posterior subcapsular cataract', 'lacrimation increased', 'rash', 'visual acuity reduced', 'connective tissue disorder', 'hypertrichosis', 'choroidal detachment', 'infection', 'myringitis', 'cataract subcapsular', 'vitreous opacities', 'cataract', 'erythema', 'ear pain', 'otitis media acute', 'tympanic membrane perforation', 'viral infection', 'ear discomfort', 'miliaria', 'itch burning', 'excoriation', 'conjunctival haemorrhage', 'back pain', 'skin striae', 'blepharitis', 'nasopharyngitis', 'eye swelling', 'impaired healing', 'infestation nos', 'eye discharge', 'infestation', 'visual disturbance', 'nerve injury']",144
What adverse events does aliskiren cause?,reverse,aliskiren,"['colon cancer', 'liver disorder', 'uric acid level increased', 'gastrointestinal pain', 'gastrointestinal disorder', 'cough', 'dermatitis', 'arthralgia', 'renal failure', 'foetor hepaticus', 'palpitations', 'headache', 'calculus of kidney', 'serum creatinine increased', 'angiopathy', 'pain in extremity', 'blood potassium increased', 'periorbital oedema', 'renal impairment', 'pruritus', 'vertigo', 'gout', 'hypertension', 'oedema', 'stevens-johnson syndrome', 'epistaxis', 'anaemia', 'upper respiratory tract infection', 'diarrhoea', 'anaphylactic shock', 'mediastinal disorder', 'diabetic', 'gastrooesophageal reflux disease', 'neck pain', 'jaundice', 'rhabdomyolysis', 'immune system disorder', 'diabetes mellitus', 'blood creatinine increased', 'hepatocellular injury', 'musculoskeletal discomfort', 'skin disorder', 'unspecified disorder of skin and subcutaneous tissue', 'hypotension', 'increased effect', 'laryngeal pain', 'constipation', 'fatigue', 'myositis', 'hepatic failure', 'rhinitis', 'pharyngolaryngeal pain', 'grand mal convulsion', 'cough increased', 'hypersensitivity', 'raised serum uric acid', 'blood urea increased', 'haematocrit decreased', 'hepatitis', 'serum potassium increased', 'cardiac disorder', 'asthenia', 'muscle spasms', 'nausea', 'blood uric acid increased', 'convulsion', 'dyspepsia', 'erythema multiforme', 'drug effect increased', 'swelling face', 'angioedema', 'loss of consciousness', 'nephrolithiasis', 'urethral disorder', 'dizziness', 'urticaria', 'dry cough', 'hepatic function abnormal', 'abdominal pain', 'shoulder pain', 'hepatobiliary disease', 'insomnia', 'influenza', 'creatinine increased', 'nervous system disorder', 'rash', 'connective tissue disorder', 'swelling', 'oedema peripheral', 'renal failure acute', 'tonic-clonic seizures', 'erythema', 'urinary tract infection', 'uncontrolled hypertension', 'urinary tract disorder', 'bronchitis', 'back pain', 'nasopharyngitis', 'toxic epidermal necrolysis', 'hyperkalaemia', 'haemoglobin decreased', 'musculoskeletal pain']",102
List all side effects of ruxolitinib,reverse,ruxolitinib,"['plasma cell myeloma', 'blood and lymphatic system disorders', 'body temperature increased', 'nervous system disorder', 'bone pain', 'asthenia', 'gastrointestinal disorder', 'herpes zoster', 'pancytopenia', 'plasmacytoma', 'post procedural haemorrhage', 'night sweats', 'infection', 'haemorrhage intracranial', 'weight increased', 'contusion', 'haematuria', 'thrombocytopenia', 'blood pressure systolic increased', 'skin disorder', 'flatulence', 'dizziness', 'headache', 'kidney infection', 'urinary tract infection', 'unspecified disorder of skin and subcutaneous tissue', 'haemoglobin', 'prostate cancer', 'weight decreased', 'haemorrhage', 'fatigue', 'hypercholesterolaemia', 'tuberculosis', 'urosepsis', 'myelosuppression', 'gastrointestinal haemorrhage', 'pruritus', 'alanine aminotransferase increased', 'hepatobiliary disease', 'infestation nos', 'infestation', 'malnutrition', 'epistaxis', 'anaemia', 'neutropenia']",45
